instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.012965964,-0.381685575,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",luz,2,001,male,2023-04-15_09h42.33.559,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05834684,-0.422204214,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",luz,2,001,male,2023-04-15_09h42.33.559,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,luz,2,001,male,2023-04-15_09h42.33.559,openIAT,2020.1.0rc3,Win32,60,,0,0.359805511,-0.347649919,1,0,0,86.6724,button_right,86.6724,1,0,0,0,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,luz,2,001,male,2023-04-15_09h42.33.559,openIAT,2020.1.0rc3,Win32,60,,0,0.223662885,-0.277957861,1,0,0,3.4522,button_right,3.4522,0,0,1,1,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,luz,2,001,male,2023-04-15_09h42.33.559,openIAT,2020.1.0rc3,Win32,60,,0,0.320907618,-0.302269044,1,0,0,0.6664,button_right,0.6664,0,0,2,2,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,luz,2,001,male,2023-04-15_09h42.33.559,openIAT,2020.1.0rc3,Win32,60,,0,-0.316045381,-0.352512156,1,0,0,1.0859,button_left,1.0859,1,0,3,3,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,luz,2,001,male,2023-04-15_09h42.33.559,openIAT,2020.1.0rc3,Win32,60,,0,-0.311183144,-0.323338736,1,0,0,0.9658,button_left,0.9658,1,0,4,4,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,luz,2,001,male,2023-04-15_09h42.33.559,openIAT,2020.1.0rc3,Win32,60,,0,-0.307941653,-0.323338736,1,0,0,1.0497,button_left,1.0497,0,0,5,5,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,luz,2,001,male,2023-04-15_09h42.33.559,openIAT,2020.1.0rc3,Win32,60,,0,0.345218801,-0.313614263,1,0,0,1.4499,button_right,1.4499,1,0,6,6,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,luz,2,001,male,2023-04-15_09h42.33.559,openIAT,2020.1.0rc3,Win32,60,,0,-0.468395462,-0.357374392,1,0,0,1.0837,button_left,1.0837,1,0,7,7,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,luz,2,001,male,2023-04-15_09h42.33.559,openIAT,2020.1.0rc3,Win32,60,,0,-0.337115073,-0.342787682,1,0,0,1.1783,button_left,1.1783,0,0,8,8,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,luz,2,001,male,2023-04-15_09h42.33.559,openIAT,2020.1.0rc3,Win32,60,,0,-0.317666126,-0.342787682,1,0,0,0.7165,button_left,0.7165,0,0,9,9,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,luz,2,001,male,2023-04-15_09h42.33.559,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,luz,2,001,male,2023-04-15_09h42.33.559,openIAT,2020.1.0rc3,Win32,60,,0,-0.338735818,-0.328200972,1,0,0,4.3994,button_left,4.3994,0,0,0,0,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,luz,2,001,male,2023-04-15_09h42.33.559,openIAT,2020.1.0rc3,Win32,60,,0,-0.301458671,-0.326580227,1,0,0,1.5459,button_left,1.5459,0,0,1,1,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,luz,2,001,male,2023-04-15_09h42.33.559,openIAT,2020.1.0rc3,Win32,60,,0,0.337115073,-0.290923825,1,0,0,1.2001,button_right,1.2001,0,0,2,2,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,luz,2,001,male,2023-04-15_09h42.33.559,openIAT,2020.1.0rc3,Win32,60,,0,0.354943274,-0.313614263,1,0,0,0.9311,button_right,0.9311,0,0,3,3,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,luz,2,001,male,2023-04-15_09h42.33.559,openIAT,2020.1.0rc3,Win32,60,,0,0.369529984,-0.324959481,1,0,0,0.7847,button_right,0.7847,0,0,4,4,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,luz,2,001,male,2023-04-15_09h42.33.559,openIAT,2020.1.0rc3,Win32,60,,0,-0.4910859,-0.310372771,1,0,0,1.0868,button_left,1.0868,0,0,5,5,3,1,stimuli/white_2.jpg,,l,,,,,,,,
