instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.051432292,-0.396592262,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",m,2,001,male,2021-05-11_10h48.53.778,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.050665923,-0.398816964,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",m,2,001,male,2021-05-11_10h48.53.778,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,m,2,001,male,2021-05-11_10h48.53.778,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.21619,,,,,,,,1.21619,1,0,0,0,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,m,2,001,male,2021-05-11_10h48.53.778,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.616285,,,,,,,,0.616285,1,0,1,1,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,m,2,001,male,2021-05-11_10h48.53.778,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.948675,,,,,,,,0.948675,1,0,2,2,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,m,2,001,male,2021-05-11_10h48.53.778,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.61731,,,,,,,,0.61731,1,0,3,3,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,m,2,001,male,2021-05-11_10h48.53.778,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.732815,,,,,,,,0.732815,1,0,4,4,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,m,2,001,male,2021-05-11_10h48.53.778,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.81583,,,,,,,,0.81583,1,0,5,5,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,m,2,001,male,2021-05-11_10h48.53.778,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.69847,,,,,,,,0.69847,1,0,6,6,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,m,2,001,male,2021-05-11_10h48.53.778,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.664535,,,,,,,,0.664535,1,0,7,7,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,m,2,001,male,2021-05-11_10h48.53.778,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.71577,,,,,,,,0.71577,1,0,8,8,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,m,2,001,male,2021-05-11_10h48.53.778,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.632445,,,,,,,,0.632445,1,0,9,9,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,m,2,001,male,2021-05-11_10h48.53.778,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
