instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.01953125,-0.401041667,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",male,1,001,male,2023-04-01_00h03.52.545,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.08203125,-0.41796875,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",male,1,001,male,2023-04-01_00h03.52.545,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,male,1,001,male,2023-04-01_00h03.52.545,openIAT,2020.1.0rc3,Win32,60,a,1,1.154,,,,,,,,1.154,1,0,0,0,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,male,1,001,male,2023-04-01_00h03.52.545,openIAT,2020.1.0rc3,Win32,60,a,1,1.375,,,,,,,,1.375,1,0,1,1,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,male,1,001,male,2023-04-01_00h03.52.545,openIAT,2020.1.0rc3,Win32,60,l,1,1.145,,,,,,,,1.145,1,0,2,2,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,male,1,001,male,2023-04-01_00h03.52.545,openIAT,2020.1.0rc3,Win32,60,l,1,0.95,,,,,,,,0.95,1,0,3,3,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,male,1,001,male,2023-04-01_00h03.52.545,openIAT,2020.1.0rc3,Win32,60,a,1,0.699,,,,,,,,0.699,1,0,4,4,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,male,1,001,male,2023-04-01_00h03.52.545,openIAT,2020.1.0rc3,Win32,60,l,1,0.73,,,,,,,,0.73,1,0,5,5,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,male,1,001,male,2023-04-01_00h03.52.545,openIAT,2020.1.0rc3,Win32,60,a,1,0.615,,,,,,,,0.615,1,0,6,6,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,male,1,001,male,2023-04-01_00h03.52.545,openIAT,2020.1.0rc3,Win32,60,l,1,0.618,,,,,,,,0.618,1,0,7,7,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,male,1,001,male,2023-04-01_00h03.52.545,openIAT,2020.1.0rc3,Win32,60,l,1,0.619,,,,,,,,0.619,1,0,8,8,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,male,1,001,male,2023-04-01_00h03.52.545,openIAT,2020.1.0rc3,Win32,60,a,1,1.093,,,,,,,,1.093,1,0,9,9,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,male,1,001,male,2023-04-01_00h03.52.545,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,male,1,001,male,2023-04-01_00h03.52.545,openIAT,2020.1.0rc3,Win32,60,l,1,2.764,,,,,,,,2.764,1,0,0,0,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,male,1,001,male,2023-04-01_00h03.52.545,openIAT,2020.1.0rc3,Win32,60,a,1,1.909,,,,,,,,1.909,1,0,1,1,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,male,1,001,male,2023-04-01_00h03.52.545,openIAT,2020.1.0rc3,Win32,60,a,1,1.678,,,,,,,,1.678,1,0,2,2,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,male,1,001,male,2023-04-01_00h03.52.545,openIAT,2020.1.0rc3,Win32,60,a,1,1.728,,,,,,,,1.728,1,0,3,3,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,male,1,001,male,2023-04-01_00h03.52.545,openIAT,2020.1.0rc3,Win32,60,a,1,1.317,,,,,,,,1.317,1,0,4,4,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,male,1,001,male,2023-04-01_00h03.52.545,openIAT,2020.1.0rc3,Win32,60,l,1,0.663,,,,,,,,0.663,1,0,5,5,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,male,1,001,male,2023-04-01_00h03.52.545,openIAT,2020.1.0rc3,Win32,60,l,1,0.761,,,,,,,,0.761,1,0,6,6,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,male,1,001,male,2023-04-01_00h03.52.545,openIAT,2020.1.0rc3,Win32,60,l,1,1.329,,,,,,,,1.329,1,0,7,7,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,male,1,001,male,2023-04-01_00h03.52.545,openIAT,2020.1.0rc3,Win32,60,l,0,3.339,,,,,,,,3.339,0,0,8,8,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,male,1,001,male,2023-04-01_00h03.52.545,openIAT,2020.1.0rc3,Win32,60,l,1,1.568,,,,,,,,1.568,1,0,9,9,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,male,1,001,male,2023-04-01_00h03.52.545,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,male,1,001,male,2023-04-01_00h03.52.545,openIAT,2020.1.0rc3,Win32,60,l,1,1.362,,,,,,,,1.362,1,0,0,0,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,male,1,001,male,2023-04-01_00h03.52.545,openIAT,2020.1.0rc3,Win32,60,a,1,1.144,,,,,,,,1.144,1,0,1,1,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,male,1,001,male,2023-04-01_00h03.52.545,openIAT,2020.1.0rc3,Win32,60,a,1,0.997,,,,,,,,0.997,1,0,2,2,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,male,1,001,male,2023-04-01_00h03.52.545,openIAT,2020.1.0rc3,Win32,60,a,1,0.637,,,,,,,,0.637,1,0,3,3,16,1,stimuli/blank.png,Love,a,,,,,,,,
