instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.017361111,-0.40625,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",me,1,001,male,2023-01-16_14h00.24.854,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.017361111,-0.40625,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",me,1,001,male,2023-01-16_14h00.24.854,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,me,1,001,male,2023-01-16_14h00.24.854,openIAT,2020.1.0rc3,Win32,60,,0,0.470760234,-0.32748538,1,0,0,1.745,button_right,1.745,1,0,0,0,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,me,1,001,male,2023-01-16_14h00.24.854,openIAT,2020.1.0rc3,Win32,60,,0,0.445906433,-0.349415205,1,0,0,1.542,button_right,1.542,1,0,1,1,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,me,1,001,male,2023-01-16_14h00.24.854,openIAT,2020.1.0rc3,Win32,60,,0,-0.315789474,-0.387426901,1,0,0,1.361,button_left,1.361,1,0,2,2,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,me,1,001,male,2023-01-16_14h00.24.854,openIAT,2020.1.0rc3,Win32,60,,0,0.35380117,-0.368421053,1,0,0,1.812,button_right,1.812,1,0,3,3,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,me,1,001,male,2023-01-16_14h00.24.854,openIAT,2020.1.0rc3,Win32,60,,0,-0.337719298,-0.384502924,1,0,0,1.314,button_left,1.314,1,0,4,4,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,me,1,001,male,2023-01-16_14h00.24.854,openIAT,2020.1.0rc3,Win32,60,,0,-0.337719298,-0.384502924,1,0,0,1.077,button_left,1.077,1,0,5,5,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,me,1,001,male,2023-01-16_14h00.24.854,openIAT,2020.1.0rc3,Win32,60,,0,-0.337719298,-0.384502924,1,0,0,0.845,button_left,0.845,1,0,6,6,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,me,1,001,male,2023-01-16_14h00.24.854,openIAT,2020.1.0rc3,Win32,60,,0,-0.337719298,-0.384502924,1,0,0,0.764,button_left,0.764,1,0,7,7,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,me,1,001,male,2023-01-16_14h00.24.854,openIAT,2020.1.0rc3,Win32,60,,0,0.371345029,-0.330409357,1,0,0,1.177,button_right,1.177,1,0,8,8,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,me,1,001,male,2023-01-16_14h00.24.854,openIAT,2020.1.0rc3,Win32,60,,0,0.371345029,-0.330409357,1,0,0,0.911,button_right,0.911,1,0,9,9,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,me,1,001,male,2023-01-16_14h00.24.854,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,me,1,001,male,2023-01-16_14h00.24.854,openIAT,2020.1.0rc3,Win32,60,,0,0.371345029,-0.330409357,1,0,0,2.795,button_right,2.795,1,0,0,0,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,me,1,001,male,2023-01-16_14h00.24.854,openIAT,2020.1.0rc3,Win32,60,,0,0.371345029,-0.330409357,1,0,0,1.379,button_right,1.379,1,0,1,1,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,me,1,001,male,2023-01-16_14h00.24.854,openIAT,2020.1.0rc3,Win32,60,,0,0.371345029,-0.330409357,1,0,0,1.028,button_right,1.028,1,0,2,2,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,me,1,001,male,2023-01-16_14h00.24.854,openIAT,2020.1.0rc3,Win32,60,,0,-0.263157895,-0.340643275,1,0,0,1.729,button_left,1.729,1,0,3,3,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
