instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.014500868,-0.404205729,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",mml1,1,001,female,2021-02-26_15h37.55.429,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.014500868,-0.404205729,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",mml1,1,001,female,2021-02-26_15h37.55.429,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,mml1,1,001,female,2021-02-26_15h37.55.429,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.837185,,,,,,,,0.837185,1,0,0,0,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,mml1,1,001,female,2021-02-26_15h37.55.429,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6013,,,,,,,,0.6013,1,0,1,1,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,mml1,1,001,female,2021-02-26_15h37.55.429,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.87701,,,,,,,,0.87701,1,0,2,2,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,mml1,1,001,female,2021-02-26_15h37.55.429,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.595345,,,,,,,,0.595345,1,0,3,3,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,mml1,1,001,female,2021-02-26_15h37.55.429,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.564565,,,,,,,,0.564565,1,0,4,4,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,mml1,1,001,female,2021-02-26_15h37.55.429,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.605925,,,,,,,,0.605925,1,0,5,5,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,mml1,1,001,female,2021-02-26_15h37.55.429,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.623845,,,,,,,,0.623845,1,0,6,6,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,mml1,1,001,female,2021-02-26_15h37.55.429,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.58108,,,,,,,,0.58108,1,0,7,7,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,mml1,1,001,female,2021-02-26_15h37.55.429,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.611725,,,,,,,,0.611725,1,0,8,8,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,mml1,1,001,female,2021-02-26_15h37.55.429,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.658385,,,,,,,,0.658385,1,0,9,9,8,1,stimuli/blank.png,Joy,a,,,,,,,,
