instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.0375,-0.370833333,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0375,-0.370833333,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,1.121,,,,,,,,1.121,1,0,0,0,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,l,1,0.892,,,,,,,,0.892,1,0,1,1,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,l,1,1.156,,,,,,,,1.156,1,0,2,2,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,0.707,,,,,,,,0.707,1,0,3,3,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,l,0,0.636,,,,,,,,0.636,0,0,4,4,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,l,1,1.181,,,,,,,,1.181,1,0,5,5,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,l,1,0.631,,,,,,,,0.631,1,0,6,6,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,l,1,0.639,,,,,,,,0.639,1,0,7,7,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,0.497,,,,,,,,0.497,1,0,8,8,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,0.798,,,,,,,,0.798,1,0,9,9,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,2.611,,,,,,,,2.611,1,0,0,0,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,l,1,1.247,,,,,,,,1.247,1,0,1,1,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,1.123,,,,,,,,1.123,1,0,2,2,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,l,1,0.889,,,,,,,,0.889,1,0,3,3,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,l,1,0.63,,,,,,,,0.63,1,0,4,4,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,1.295,,,,,,,,1.295,1,0,5,5,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,l,1,0.821,,,,,,,,0.821,1,0,6,6,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,1.408,,,,,,,,1.408,1,0,7,7,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,1.447,,,,,,,,1.447,1,0,8,8,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,l,1,0.597,,,,,,,,0.597,1,0,9,9,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,l,1,1.677,,,,,,,,1.677,1,0,0,0,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,l,1,0.621,,,,,,,,0.621,1,0,1,1,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,0.807,,,,,,,,0.807,1,0,2,2,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,l,1,1.163,,,,,,,,1.163,1,0,3,3,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,l,1,0.821,,,,,,,,0.821,1,0,4,4,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,0.86,,,,,,,,0.86,1,0,5,5,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,0.679,,,,,,,,0.679,1,0,6,6,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,0.891,,,,,,,,0.891,1,0,7,7,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,0.761,,,,,,,,0.761,1,0,8,8,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,l,1,0.525,,,,,,,,0.525,1,0,9,9,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,1.282,,,,,,,,1.282,1,0,10,10,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,0.74,,,,,,,,0.74,1,0,11,11,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,0.458,,,,,,,,0.458,1,0,12,12,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,l,1,0.621,,,,,,,,0.621,1,0,13,13,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,l,1,0.791,,,,,,,,0.791,1,0,14,14,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,l,1,0.528,,,,,,,,0.528,1,0,15,15,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,l,1,0.51,,,,,,,,0.51,1,0,16,16,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,0.688,,,,,,,,0.688,1,0,17,17,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,1.153,,,,,,,,1.153,1,0,18,18,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,l,1,0.623,,,,,,,,0.623,1,0,19,19,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,incong_test.xlsx,"A = 
Black or 
Positive","L = 
White or 
Negative"
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,l,1,0.787,,,,,,,,0.787,1,0,0,0,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,1.374,,,,,,,,1.374,1,0,1,1,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,0.84,,,,,,,,0.84,1,0,2,2,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,l,1,0.412,,,,,,,,0.412,1,0,3,3,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,l,1,0.481,,,,,,,,0.481,1,0,4,4,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,0.509,,,,,,,,0.509,1,0,5,5,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,l,1,0.459,,,,,,,,0.459,1,0,6,6,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,0.464,,,,,,,,0.464,1,0,7,7,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,0.605,,,,,,,,0.605,1,0,8,8,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,l,1,0.473,,,,,,,,0.473,1,0,9,9,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,1.174,,,,,,,,1.174,1,0,0,0,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,0.914,,,,,,,,0.914,1,0,1,1,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,l,1,0.671,,,,,,,,0.671,1,0,2,2,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,0.605,,,,,,,,0.605,1,0,3,3,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,l,1,1.066,,,,,,,,1.066,1,0,4,4,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,0.712,,,,,,,,0.712,1,0,5,5,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,0,0.907,,,,,,,,0.907,0,0,6,6,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,l,0,1.106,,,,,,,,1.106,0,0,7,7,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,1.025,,,,,,,,1.025,1,0,8,8,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,l,1,0.839,,,,,,,,0.839,1,0,9,9,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,0.545,,,,,,,,0.545,1,0,10,10,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,0.706,,,,,,,,0.706,1,0,11,11,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,l,1,0.489,,,,,,,,0.489,1,0,12,12,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,na,2,001,male,2024-03-04_15h21.08.406,openIAT,2020.1.0rc3,Win32,60,a,1,0.688,,,,,,,,0.688,1,0,13,13,18,1,stimuli/blank.png,Joy,a,,,,,,,,
