instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.03515625,-0.42578125,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",nik,1,001,male,2023-01-31_01h42.23.882,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.125,-0.37109375,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",nik,1,001,male,2023-01-31_01h42.23.882,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,nik,1,001,male,2023-01-31_01h42.23.882,openIAT,2020.1.0rc3,Win32,60,a,1,0.4056,,,,,,,,0.4056,1,0,0,0,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,nik,1,001,male,2023-01-31_01h42.23.882,openIAT,2020.1.0rc3,Win32,60,a,1,1.3246,,,,,,,,1.3246,1,0,1,1,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,nik,1,001,male,2023-01-31_01h42.23.882,openIAT,2020.1.0rc3,Win32,60,a,1,1.7711,,,,,,,,1.7711,1,0,2,2,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,nik,1,001,male,2023-01-31_01h42.23.882,openIAT,2020.1.0rc3,Win32,60,l,1,2.0269,,,,,,,,2.0269,1,0,3,3,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,nik,1,001,male,2023-01-31_01h42.23.882,openIAT,2020.1.0rc3,Win32,60,a,1,0.9338,,,,,,,,0.9338,1,0,4,4,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,nik,1,001,male,2023-01-31_01h42.23.882,openIAT,2020.1.0rc3,Win32,60,a,1,0.8457,,,,,,,,0.8457,1,0,5,5,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,nik,1,001,male,2023-01-31_01h42.23.882,openIAT,2020.1.0rc3,Win32,60,l,1,1.251,,,,,,,,1.251,1,0,6,6,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,nik,1,001,male,2023-01-31_01h42.23.882,openIAT,2020.1.0rc3,Win32,60,l,1,2.1385,,,,,,,,2.1385,1,0,7,7,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,nik,1,001,male,2023-01-31_01h42.23.882,openIAT,2020.1.0rc3,Win32,60,l,1,1.0192,,,,,,,,1.0192,1,0,8,8,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,nik,1,001,male,2023-01-31_01h42.23.882,openIAT,2020.1.0rc3,Win32,60,l,1,1.0588,,,,,,,,1.0588,1,0,9,9,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,nik,1,001,male,2023-01-31_01h42.23.882,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,nik,1,001,male,2023-01-31_01h42.23.882,openIAT,2020.1.0rc3,Win32,60,a,1,2.7341,,,,,,,,2.7341,1,0,0,0,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,nik,1,001,male,2023-01-31_01h42.23.882,openIAT,2020.1.0rc3,Win32,60,a,1,4.613,,,,,,,,4.613,1,0,1,1,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,nik,1,001,male,2023-01-31_01h42.23.882,openIAT,2020.1.0rc3,Win32,60,a,0,2.6125,,,,,,,,2.6125,0,0,2,2,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,nik,1,001,male,2023-01-31_01h42.23.882,openIAT,2020.1.0rc3,Win32,60,l,1,1.9773,,,,,,,,1.9773,1,0,3,3,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,nik,1,001,male,2023-01-31_01h42.23.882,openIAT,2020.1.0rc3,Win32,60,a,1,2.3057,,,,,,,,2.3057,1,0,4,4,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,nik,1,001,male,2023-01-31_01h42.23.882,openIAT,2020.1.0rc3,Win32,60,l,1,0.9403,,,,,,,,0.9403,1,0,5,5,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,nik,1,001,male,2023-01-31_01h42.23.882,openIAT,2020.1.0rc3,Win32,60,a,1,1.5559,,,,,,,,1.5559,1,0,6,6,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,nik,1,001,male,2023-01-31_01h42.23.882,openIAT,2020.1.0rc3,Win32,60,l,0,0.6419,,,,,,,,0.6419,0,0,7,7,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,nik,1,001,male,2023-01-31_01h42.23.882,openIAT,2020.1.0rc3,Win32,60,l,1,10.0193,,,,,,,,10.0193,1,0,8,8,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
