instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.013333333,-0.395555556,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",nttttttttt,1,001,male,2023-06-08_12h02.08.441,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.065555556,-0.086666667,0,0,0,,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",nttttttttt,1,001,male,2023-06-08_12h02.08.441,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,nttttttttt,1,001,male,2023-06-08_12h02.08.441,openIAT,2020.1.0rc3,Win32,60,a,1,1.3345,,,,,,,,1.3345,1,0,0,0,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,nttttttttt,1,001,male,2023-06-08_12h02.08.441,openIAT,2020.1.0rc3,Win32,60,a,1,0.7731,,,,,,,,0.7731,1,0,1,1,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,nttttttttt,1,001,male,2023-06-08_12h02.08.441,openIAT,2020.1.0rc3,Win32,60,a,1,0.5701,,,,,,,,0.5701,1,0,2,2,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,nttttttttt,1,001,male,2023-06-08_12h02.08.441,openIAT,2020.1.0rc3,Win32,60,a,1,1.0448,,,,,,,,1.0448,1,0,3,3,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,nttttttttt,1,001,male,2023-06-08_12h02.08.441,openIAT,2020.1.0rc3,Win32,60,l,1,0.7696,,,,,,,,0.7696,1,0,4,4,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,nttttttttt,1,001,male,2023-06-08_12h02.08.441,openIAT,2020.1.0rc3,Win32,60,a,1,0.6427,,,,,,,,0.6427,1,0,5,5,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,nttttttttt,1,001,male,2023-06-08_12h02.08.441,openIAT,2020.1.0rc3,Win32,60,l,1,0.9242,,,,,,,,0.9242,1,0,6,6,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,nttttttttt,1,001,male,2023-06-08_12h02.08.441,openIAT,2020.1.0rc3,Win32,60,l,1,0.714,,,,,,,,0.714,1,0,7,7,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,nttttttttt,1,001,male,2023-06-08_12h02.08.441,openIAT,2020.1.0rc3,Win32,60,a,0,0.7049,,,,,,,,0.7049,0,0,8,8,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,nttttttttt,1,001,male,2023-06-08_12h02.08.441,openIAT,2020.1.0rc3,Win32,60,l,1,0.664,,,,,,,,0.664,1,0,9,9,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,nttttttttt,1,001,male,2023-06-08_12h02.08.441,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,nttttttttt,1,001,male,2023-06-08_12h02.08.441,openIAT,2020.1.0rc3,Win32,60,l,1,1.6286,,,,,,,,1.6286,1,0,0,0,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,nttttttttt,1,001,male,2023-06-08_12h02.08.441,openIAT,2020.1.0rc3,Win32,60,l,1,1.1702,,,,,,,,1.1702,1,0,1,1,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,nttttttttt,1,001,male,2023-06-08_12h02.08.441,openIAT,2020.1.0rc3,Win32,60,a,1,1.1869,,,,,,,,1.1869,1,0,2,2,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,nttttttttt,1,001,male,2023-06-08_12h02.08.441,openIAT,2020.1.0rc3,Win32,60,l,1,1.0038,,,,,,,,1.0038,1,0,3,3,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,nttttttttt,1,001,male,2023-06-08_12h02.08.441,openIAT,2020.1.0rc3,Win32,60,a,1,0.9765,,,,,,,,0.9765,1,0,4,4,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,nttttttttt,1,001,male,2023-06-08_12h02.08.441,openIAT,2020.1.0rc3,Win32,60,l,1,1.1535,,,,,,,,1.1535,1,0,5,5,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,nttttttttt,1,001,male,2023-06-08_12h02.08.441,openIAT,2020.1.0rc3,Win32,60,l,1,1.1543,,,,,,,,1.1543,1,0,6,6,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,nttttttttt,1,001,male,2023-06-08_12h02.08.441,openIAT,2020.1.0rc3,Win32,60,a,1,1.2713,,,,,,,,1.2713,1,0,7,7,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,nttttttttt,1,001,male,2023-06-08_12h02.08.441,openIAT,2020.1.0rc3,Win32,60,a,1,1.0469,,,,,,,,1.0469,1,0,8,8,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,nttttttttt,1,001,male,2023-06-08_12h02.08.441,openIAT,2020.1.0rc3,Win32,60,a,1,1.637,,,,,,,,1.637,1,0,9,9,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,nttttttttt,1,001,male,2023-06-08_12h02.08.441,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,nttttttttt,1,001,male,2023-06-08_12h02.08.441,openIAT,2020.1.0rc3,Win32,60,l,1,0.9042,,,,,,,,0.9042,1,0,0,0,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,nttttttttt,1,001,male,2023-06-08_12h02.08.441,openIAT,2020.1.0rc3,Win32,60,a,1,1.5426,,,,,,,,1.5426,1,0,1,1,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,nttttttttt,1,001,male,2023-06-08_12h02.08.441,openIAT,2020.1.0rc3,Win32,60,a,1,0.67,,,,,,,,0.67,1,0,2,2,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,nttttttttt,1,001,male,2023-06-08_12h02.08.441,openIAT,2020.1.0rc3,Win32,60,l,1,1.3028,,,,,,,,1.3028,1,0,3,3,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,nttttttttt,1,001,male,2023-06-08_12h02.08.441,openIAT,2020.1.0rc3,Win32,60,a,1,3.1227,,,,,,,,3.1227,1,0,4,4,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,nttttttttt,1,001,male,2023-06-08_12h02.08.441,openIAT,2020.1.0rc3,Win32,60,a,1,0.8404,,,,,,,,0.8404,1,0,5,5,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,nttttttttt,1,001,male,2023-06-08_12h02.08.441,openIAT,2020.1.0rc3,Win32,60,a,1,2.7453,,,,,,,,2.7453,1,0,6,6,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
