instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.17,-0.371111111,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",ol,1,001,male,2021-02-18_06h55.22.528,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.101717305,-0.375825627,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",ol,1,001,male,2021-02-18_06h55.22.528,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,ol,1,001,male,2021-02-18_06h55.22.528,openIAT,2020.1.0rc3,Win32,60,,0,0.29326288,-0.336195509,1,0,0,630.67504,button_right,630.67504,1,0,0,0,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,ol,1,001,male,2021-02-18_06h55.22.528,openIAT,2020.1.0rc3,Win32,60,,0,0.29326288,-0.336195509,1,0,0,1.380965,button_right,1.380965,1,0,1,1,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,ol,1,001,male,2021-02-18_06h55.22.528,openIAT,2020.1.0rc3,Win32,60,,0,0.29326288,-0.336195509,1,0,0,0.82856,button_right,0.82856,1,0,2,2,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,ol,1,001,male,2021-02-18_06h55.22.528,openIAT,2020.1.0rc3,Win32,60,,0,-0.394980185,-0.293923382,1,0,0,1.35937,button_left,1.35937,1,0,3,3,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,ol,1,001,male,2021-02-18_06h55.22.528,openIAT,2020.1.0rc3,Win32,60,,0,-0.336856011,-0.280713342,1,0,0,0.86406,button_left,0.86406,1,0,4,4,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,ol,1,001,male,2021-02-18_06h55.22.528,openIAT,2020.1.0rc3,Win32,60,,0,-0.428005284,-0.334874505,1,0,0,1414.84831,button_left,1414.84831,1,0,5,5,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,ol,1,001,male,2021-02-18_06h55.22.528,openIAT,2020.1.0rc3,Win32,60,,0,0.437252312,-0.328269485,1,0,0,0.95405,button_right,0.95405,1,0,6,6,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,ol,1,001,male,2021-02-18_06h55.22.528,openIAT,2020.1.0rc3,Win32,60,,0,-0.284015852,-0.350726552,1,0,0,1.39271,button_left,1.39271,1,0,7,7,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,ol,1,001,male,2021-02-18_06h55.22.528,openIAT,2020.1.0rc3,Win32,60,,0,-0.377807133,-0.313738441,1,0,0,0.905555,button_left,0.905555,1,0,8,8,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,ol,1,001,male,2021-02-18_06h55.22.528,openIAT,2020.1.0rc3,Win32,60,,0,0.414795244,-0.284676354,1,0,0,1.575855,button_right,1.575855,1,0,9,9,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,ol,1,001,male,2021-02-18_06h55.22.528,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,ol,1,001,male,2021-02-18_06h55.22.528,openIAT,2020.1.0rc3,Win32,60,,0,-0.564068692,-0.305812417,1,0,0,1.616865,button_left,1.616865,1,0,0,0,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,ol,1,001,male,2021-02-18_06h55.22.528,openIAT,2020.1.0rc3,Win32,60,,0,-0.558784676,-0.309775429,1,0,0,1.549335,button_left,1.549335,1,0,1,1,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,ol,1,001,male,2021-02-18_06h55.22.528,openIAT,2020.1.0rc3,Win32,60,,0,0.535006605,-0.315059445,1,0,0,2.27934,button_right,2.27934,1,0,2,2,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,ol,1,001,male,2021-02-18_06h55.22.528,openIAT,2020.1.0rc3,Win32,60,,0,0.50990753,-0.350726552,1,0,0,1.360245,button_right,1.360245,1,0,3,3,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,ol,1,001,male,2021-02-18_06h55.22.528,openIAT,2020.1.0rc3,Win32,60,,0,0.50990753,-0.350726552,1,0,0,1.14548,button_right,1.14548,1,0,4,4,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,ol,1,001,male,2021-02-18_06h55.22.528,openIAT,2020.1.0rc3,Win32,60,,0,0.50990753,-0.350726552,1,0,0,0.69907,button_right,0.69907,1,0,5,5,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,ol,1,001,male,2021-02-18_06h55.22.528,openIAT,2020.1.0rc3,Win32,60,,0,-0.424042272,-0.35336856,1,0,0,1.42914,button_left,1.42914,1,0,6,6,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
