instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.07222225,-0.380555541,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",ooo,1,001,male,2022-12-09_20h54.54.057,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15370369,-0.122222265,0,0,0,,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",ooo,1,001,male,2022-12-09_20h54.54.057,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,ooo,1,001,male,2022-12-09_20h54.54.057,openIAT,2020.1.0rc3,Win32,60,l,1,2.057,,,,,,,,2.057,1,0,0,0,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,ooo,1,001,male,2022-12-09_20h54.54.057,openIAT,2020.1.0rc3,Win32,60,a,1,0.6207,,,,,,,,0.6207,1,0,1,1,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,ooo,1,001,male,2022-12-09_20h54.54.057,openIAT,2020.1.0rc3,Win32,60,l,1,0.9485,,,,,,,,0.9485,1,0,2,2,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,ooo,1,001,male,2022-12-09_20h54.54.057,openIAT,2020.1.0rc3,Win32,60,l,1,0.6757,,,,,,,,0.6757,1,0,3,3,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,ooo,1,001,male,2022-12-09_20h54.54.057,openIAT,2020.1.0rc3,Win32,60,a,1,0.5266,,,,,,,,0.5266,1,0,4,4,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,ooo,1,001,male,2022-12-09_20h54.54.057,openIAT,2020.1.0rc3,Win32,60,a,1,0.6903,,,,,,,,0.6903,1,0,5,5,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,ooo,1,001,male,2022-12-09_20h54.54.057,openIAT,2020.1.0rc3,Win32,60,l,1,0.623,,,,,,,,0.623,1,0,6,6,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,ooo,1,001,male,2022-12-09_20h54.54.057,openIAT,2020.1.0rc3,Win32,60,a,1,0.5063,,,,,,,,0.5063,1,0,7,7,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,ooo,1,001,male,2022-12-09_20h54.54.057,openIAT,2020.1.0rc3,Win32,60,a,1,0.5567,,,,,,,,0.5567,1,0,8,8,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,ooo,1,001,male,2022-12-09_20h54.54.057,openIAT,2020.1.0rc3,Win32,60,l,1,0.7555,,,,,,,,0.7555,1,0,9,9,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,ooo,1,001,male,2022-12-09_20h54.54.057,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,ooo,1,001,male,2022-12-09_20h54.54.057,openIAT,2020.1.0rc3,Win32,60,a,1,4.904,,,,,,,,4.904,1,0,0,0,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,ooo,1,001,male,2022-12-09_20h54.54.057,openIAT,2020.1.0rc3,Win32,60,l,1,0.8536,,,,,,,,0.8536,1,0,1,1,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,ooo,1,001,male,2022-12-09_20h54.54.057,openIAT,2020.1.0rc3,Win32,60,l,1,1.9453,,,,,,,,1.9453,1,0,2,2,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,ooo,1,001,male,2022-12-09_20h54.54.057,openIAT,2020.1.0rc3,Win32,60,a,1,1.0952,,,,,,,,1.0952,1,0,3,3,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,ooo,1,001,male,2022-12-09_20h54.54.057,openIAT,2020.1.0rc3,Win32,60,l,1,0.8298,,,,,,,,0.8298,1,0,4,4,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,ooo,1,001,male,2022-12-09_20h54.54.057,openIAT,2020.1.0rc3,Win32,60,l,1,3.4387,,,,,,,,3.4387,1,0,5,5,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,ooo,1,001,male,2022-12-09_20h54.54.057,openIAT,2020.1.0rc3,Win32,60,a,1,0.9057,,,,,,,,0.9057,1,0,6,6,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,ooo,1,001,male,2022-12-09_20h54.54.057,openIAT,2020.1.0rc3,Win32,60,l,1,1.6189,,,,,,,,1.6189,1,0,7,7,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,ooo,1,001,male,2022-12-09_20h54.54.057,openIAT,2020.1.0rc3,Win32,60,a,1,0.5828,,,,,,,,0.5828,1,0,8,8,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,ooo,1,001,male,2022-12-09_20h54.54.057,openIAT,2020.1.0rc3,Win32,60,a,1,0.6782,,,,,,,,0.6782,1,0,9,9,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,ooo,1,001,male,2022-12-09_20h54.54.057,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,ooo,1,001,male,2022-12-09_20h54.54.057,openIAT,2020.1.0rc3,Win32,60,l,1,2.5038,,,,,,,,2.5038,1,0,0,0,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
