instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns
0.0703125,-0.423177083,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",pavlov,1,001,male,2023-10-03_22h14.02.269,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,
0.0703125,-0.423177083,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",pavlov,1,001,male,2023-10-03_22h14.02.269,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pavlov,1,001,male,2023-10-03_22h14.02.269,openIAT,2020.1.0rc3,Win32,60,a,1,1.4665,,,,,,,,1.4665,1,0,0,0,0,1,stimuli/blank.png,Good,a
,,,,,,,,,,,,,pavlov,1,001,male,2023-10-03_22h14.02.269,openIAT,2020.1.0rc3,Win32,60,l,1,1.2856,,,,,,,,1.2856,1,0,1,1,3,1,stimuli/blank.png,Hurt,l
,,,,,,,,,,,,,pavlov,1,001,male,2023-10-03_22h14.02.269,openIAT,2020.1.0rc3,Win32,60,a,1,0.7336,,,,,,,,0.7336,1,0,2,2,8,1,stimuli/blank.png,Joy,a
,,,,,,,,,,,,,pavlov,1,001,male,2023-10-03_22h14.02.269,openIAT,2020.1.0rc3,Win32,60,l,1,0.9177,,,,,,,,0.9177,1,0,3,3,5,1,stimuli/blank.png,Agony,l
,,,,,,,,,,,,,pavlov,1,001,male,2023-10-03_22h14.02.269,openIAT,2020.1.0rc3,Win32,60,a,1,0.6192,,,,,,,,0.6192,1,0,4,4,6,1,stimuli/blank.png,Love,a
,,,,,,,,,,,,,pavlov,1,001,male,2023-10-03_22h14.02.269,openIAT,2020.1.0rc3,Win32,60,a,0,0.8842,,,,,,,,0.8842,0,0,5,5,1,1,stimuli/blank.png,Bad,l
,,,,,,,,,,,,,pavlov,1,001,male,2023-10-03_22h14.02.269,openIAT,2020.1.0rc3,Win32,60,l,1,0.3351,,,,,,,,0.3351,1,0,6,6,7,1,stimuli/blank.png,Evil,l
,,,,,,,,,,,,,pavlov,1,001,male,2023-10-03_22h14.02.269,openIAT,2020.1.0rc3,Win32,60,a,1,0.7567,,,,,,,,0.7567,1,0,7,7,2,1,stimuli/blank.png,Happy,a
,,,,,,,,,,,,,pavlov,1,001,male,2023-10-03_22h14.02.269,openIAT,2020.1.0rc3,Win32,60,l,1,0.7665,,,,,,,,0.7665,1,0,8,8,9,1,stimuli/blank.png,Nasty,l
