instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.0875,-0.418055556,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1125,-0.247222222,0,0,0,,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,l,1,1.301,,,,,,,,1.301,1,0,0,0,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,a,1,0.668,,,,,,,,0.668,1,0,1,1,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,a,1,0.539,,,,,,,,0.539,1,0,2,2,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,a,1,0.559,,,,,,,,0.559,1,0,3,3,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,a,1,0.497,,,,,,,,0.497,1,0,4,4,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,l,1,0.691,,,,,,,,0.691,1,0,5,5,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,a,0,0.59,,,,,,,,0.59,0,0,6,6,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,l,1,0.791,,,,,,,,0.791,1,0,7,7,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,l,1,0.682,,,,,,,,0.682,1,0,8,8,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,a,1,0.665,,,,,,,,0.665,1,0,9,9,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,a,1,0.908,,,,,,,,0.908,1,0,0,0,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,l,1,0.611,,,,,,,,0.611,1,0,1,1,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,l,1,0.658,,,,,,,,0.658,1,0,2,2,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,l,1,0.592,,,,,,,,0.592,1,0,3,3,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,l,0,0.56,,,,,,,,0.56,0,0,4,4,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,a,1,0.734,,,,,,,,0.734,1,0,5,5,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,l,1,0.61,,,,,,,,0.61,1,0,6,6,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,a,1,0.622,,,,,,,,0.622,1,0,7,7,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,a,1,0.491,,,,,,,,0.491,1,0,8,8,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,l,1,0.576,,,,,,,,0.576,1,0,9,9,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,,pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,l,1,1.51,,,,,,,,1.51,1,0,0,0,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,l,1,0.719,,,,,,,,0.719,1,0,1,1,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,a,1,0.764,,,,,,,,0.764,1,0,2,2,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,l,1,1.819,,,,,,,,1.819,1,0,3,3,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,l,1,1.92,,,,,,,,1.92,1,0,4,4,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,a,1,0.693,,,,,,,,0.693,1,0,5,5,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,l,1,1.202,,,,,,,,1.202,1,0,6,6,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,pbys,2,001,male,2023-10-20_15h16.05.752,openIAT,2020.1.0rc3,Win32,60,a,1,0.752,,,,,,,,0.752,1,0,7,7,12,1,stimuli/blank.png,Happy,a,,,,,,,,
