instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.039351852,-0.395833333,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.039351852,-0.395833333,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,1.365,,,,,,,,1.365,1,0,0,0,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,0.964,,,,,,,,0.964,1,0,1,1,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,1.119,,,,,,,,1.119,1,0,2,2,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,0.584,,,,,,,,0.584,1,0,3,3,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,0.546,,,,,,,,0.546,1,0,4,4,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,0,0.846,,,,,,,,0.846,0,0,5,5,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,0.749,,,,,,,,0.749,1,0,6,6,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,0.803,,,,,,,,0.803,1,0,7,7,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,0.7,,,,,,,,0.7,1,0,8,8,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,0.88,,,,,,,,0.88,1,0,9,9,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,3.713,,,,,,,,3.713,1,0,0,0,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,3.015,,,,,,,,3.015,1,0,1,1,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,2.23,,,,,,,,2.23,1,0,2,2,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,1.452,,,,,,,,1.452,1,0,3,3,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,0,3.586,,,,,,,,3.586,0,0,4,4,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,8.68,,,,,,,,8.68,1,0,5,5,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,0.79,,,,,,,,0.79,1,0,6,6,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,0,2.621,,,,,,,,2.621,0,0,7,7,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,3.915,,,,,,,,3.915,1,0,8,8,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,0.77,,,,,,,,0.77,1,0,9,9,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,0.998,,,,,,,,0.998,1,0,0,0,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,0.703,,,,,,,,0.703,1,0,1,1,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,1.063,,,,,,,,1.063,1,0,2,2,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,0.439,,,,,,,,0.439,1,0,3,3,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,0.78,,,,,,,,0.78,1,0,4,4,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,0.845,,,,,,,,0.845,1,0,5,5,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,0.747,,,,,,,,0.747,1,0,6,6,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,0.699,,,,,,,,0.699,1,0,7,7,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,0.684,,,,,,,,0.684,1,0,8,8,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,0.667,,,,,,,,0.667,1,0,9,9,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,0.648,,,,,,,,0.648,1,0,10,10,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,0.748,,,,,,,,0.748,1,0,11,11,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,0.764,,,,,,,,0.764,1,0,12,12,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,0.596,,,,,,,,0.596,1,0,13,13,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,0.631,,,,,,,,0.631,1,0,14,14,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,0.565,,,,,,,,0.565,1,0,15,15,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,0.533,,,,,,,,0.533,1,0,16,16,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,0.614,,,,,,,,0.614,1,0,17,17,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,0.702,,,,,,,,0.702,1,0,18,18,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,0.596,,,,,,,,0.596,1,0,19,19,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,cong_test.xlsx,"A = 
White or 
Positive","L = 
Black or 
Negative"
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,0,0.714,,,,,,,,0.714,0,0,0,0,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,1.222,,,,,,,,1.222,1,0,1,1,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,0.798,,,,,,,,0.798,1,0,2,2,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,0.698,,,,,,,,0.698,1,0,3,3,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,0.637,,,,,,,,0.637,1,0,4,4,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,0.571,,,,,,,,0.571,1,0,5,5,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,0.447,,,,,,,,0.447,1,0,6,6,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,0.531,,,,,,,,0.531,1,0,7,7,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,0.53,,,,,,,,0.53,1,0,8,8,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,0.704,,,,,,,,0.704,1,0,9,9,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,1.981,,,,,,,,1.981,1,0,0,0,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,0.669,,,,,,,,0.669,1,0,1,1,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,1.037,,,,,,,,1.037,1,0,2,2,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,0.696,,,,,,,,0.696,1,0,3,3,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,0.629,,,,,,,,0.629,1,0,4,4,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,0.566,,,,,,,,0.566,1,0,5,5,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,0.563,,,,,,,,0.563,1,0,6,6,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,0.58,,,,,,,,0.58,1,0,7,7,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,0.617,,,,,,,,0.617,1,0,8,8,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,0.529,,,,,,,,0.529,1,0,9,9,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,0.582,,,,,,,,0.582,1,0,10,10,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,0,0.68,,,,,,,,0.68,0,0,11,11,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,0.779,,,,,,,,0.779,1,0,12,12,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,0.463,,,,,,,,0.463,1,0,13,13,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,0.564,,,,,,,,0.564,1,0,14,14,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,0.531,,,,,,,,0.531,1,0,15,15,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,1.53,,,,,,,,1.53,1,0,16,16,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,0.996,,,,,,,,0.996,1,0,17,17,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,a,1,1.087,,,,,,,,1.087,1,0,18,18,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,peter,1,001,male,2022-09-21_10h18.23.258,openIAT,2020.1.0rc3,Win32,60,l,1,1.688,,,,,,,,1.688,1,0,19,19,11,1,stimuli/blank.png,Bad,l,,,,,,,,
