instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.084444444,-0.397777778,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",pimo,1,001,female,2022-03-09_18h04.55.834,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.142222222,-0.374444444,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",pimo,1,001,female,2022-03-09_18h04.55.834,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pimo,1,001,female,2022-03-09_18h04.55.834,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.117,,,,,,,,1.117,1,0,0,0,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,pimo,1,001,female,2022-03-09_18h04.55.834,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.876,,,,,,,,0.876,1,0,1,1,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,pimo,1,001,female,2022-03-09_18h04.55.834,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.671,,,,,,,,0.671,1,0,2,2,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,pimo,1,001,female,2022-03-09_18h04.55.834,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.513,,,,,,,,0.513,1,0,3,3,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,pimo,1,001,female,2022-03-09_18h04.55.834,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.565,,,,,,,,0.565,1,0,4,4,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,pimo,1,001,female,2022-03-09_18h04.55.834,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.836,,,,,,,,0.836,1,0,5,5,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,pimo,1,001,female,2022-03-09_18h04.55.834,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.631,,,,,,,,0.631,1,0,6,6,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,pimo,1,001,female,2022-03-09_18h04.55.834,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.591,,,,,,,,0.591,1,0,7,7,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,pimo,1,001,female,2022-03-09_18h04.55.834,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.761,,,,,,,,0.761,1,0,8,8,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,pimo,1,001,female,2022-03-09_18h04.55.834,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.623,,,,,,,,0.623,1,0,9,9,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,pimo,1,001,female,2022-03-09_18h04.55.834,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,pimo,1,001,female,2022-03-09_18h04.55.834,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.639,,,,,,,,0.639,1,0,0,0,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
