instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.026388889,-0.391666667,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.026388889,-0.391666667,0,0,0,,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,a,1,2.349,,,,,,,,2.349,1,0,0,0,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,l,1,1.298,,,,,,,,1.298,1,0,1,1,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,l,1,0.763,,,,,,,,0.763,1,0,2,2,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,l,1,1.495,,,,,,,,1.495,1,0,3,3,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,a,1,1.689,,,,,,,,1.689,1,0,4,4,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,l,1,1.603,,,,,,,,1.603,1,0,5,5,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,a,1,1.319,,,,,,,,1.319,1,0,6,6,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,l,1,1.364,,,,,,,,1.364,1,0,7,7,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,a,1,1.403,,,,,,,,1.403,1,0,8,8,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,a,1,1.469,,,,,,,,1.469,1,0,9,9,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,a,1,1.957,,,,,,,,1.957,1,0,0,0,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,l,1,1.515,,,,,,,,1.515,1,0,1,1,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,l,1,1.779,,,,,,,,1.779,1,0,2,2,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,l,1,1.569,,,,,,,,1.569,1,0,3,3,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,l,1,1.633,,,,,,,,1.633,1,0,4,4,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,a,1,1.902,,,,,,,,1.902,1,0,5,5,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,l,1,1.677,,,,,,,,1.677,1,0,6,6,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,a,1,1.407,,,,,,,,1.407,1,0,7,7,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,a,1,1.32,,,,,,,,1.32,1,0,8,8,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,a,1,1.679,,,,,,,,1.679,1,0,9,9,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,l,1,2.933,,,,,,,,2.933,1,0,0,0,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,a,1,1.963,,,,,,,,1.963,1,0,1,1,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,a,1,2.082,,,,,,,,2.082,1,0,2,2,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,l,1,1.903,,,,,,,,1.903,1,0,3,3,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,l,1,2.096,,,,,,,,2.096,1,0,4,4,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,a,1,2.083,,,,,,,,2.083,1,0,5,5,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,l,1,2.414,,,,,,,,2.414,1,0,6,6,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,a,1,1.658,,,,,,,,1.658,1,0,7,7,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,a,1,1.635,,,,,,,,1.635,1,0,8,8,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,l,1,1.432,,,,,,,,1.432,1,0,9,9,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,l,1,1.081,,,,,,,,1.081,1,0,10,10,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,pippo,1,001,male,2023-12-23_18h43.06.566,openIAT,2020.1.0rc3,Win32,60,a,1,1.173,,,,,,,,1.173,1,0,11,11,10,1,stimuli/blank.png,Good,a,,,,,,,,
