instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,key_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.01953125,-0.3984375,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.006510417,-0.40625,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,,0,-0.333333333,-0.341145833,1,0,0,0.27807,button_left,0.27807,0,0,0,0,3,1,stimuli/blank.png,Hurt,l,,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,2.716875,1,0,1,1,6,1,stimuli/blank.png,Love,a,2.716875,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,a,0,,,,,,,,1.065425,0,0,2,2,1,1,stimuli/blank.png,Bad,l,1.065425,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,1.042975,1,0,3,3,4,1,stimuli/blank.png,Pleasure,a,1.042975,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,1.12767,1,0,4,4,0,1,stimuli/blank.png,Good,a,1.12767,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,0.64201,1,0,5,5,2,1,stimuli/blank.png,Happy,a,0.64201,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,0.67499,1,0,6,6,8,1,stimuli/blank.png,Joy,a,0.67499,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,0.5076,1,0,7,7,5,1,stimuli/blank.png,Agony,l,0.5076,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,a,0,,,,,,,,0.85859,0,0,8,8,9,1,stimuli/blank.png,Nasty,l,0.85859,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,0.827765,1,0,9,9,7,1,stimuli/blank.png,Evil,l,0.827765,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,2.28345,1,0,0,0,0,1,stimuli/black_1.jpg,NaN,l,2.28345,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,1.17782,1,0,1,1,1,1,stimuli/white_1.jpg,NaN,a,1.17782,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,l,0,,,,,,,,1.328635,0,0,2,2,5,1,stimuli/white_3.jpg,NaN,a,1.328635,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,a,0,,,,,,,,0.943855,0,0,3,3,4,1,stimuli/black_3.jpg,NaN,l,0.943855,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,a,0,,,,,,,,0.859825,0,0,4,4,2,1,stimuli/black_2.jpg,NaN,l,0.859825,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,1.19996,1,0,5,5,9,1,stimuli/white_5.jpg,NaN,a,1.19996,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,0.52463,1,0,6,6,8,1,stimuli/black_5.jpg,NaN,l,0.52463,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,0.829775,1,0,7,7,3,1,stimuli/white_2.jpg,NaN,a,0.829775,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,0.72755,1,0,8,8,7,1,stimuli/white_4.jpg,NaN,a,0.72755,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,0.74074,1,0,9,9,6,1,stimuli/black_4.jpg,NaN,l,0.74074,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,1.933915,1,0,0,0,18,1,stimuli/blank.png,Joy,a,1.933915,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,0.87712,1,0,1,1,10,1,stimuli/blank.png,Good,a,0.87712,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,0.67807,1,0,2,2,6,1,stimuli/black_4.jpg,NaN,l,0.67807,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,0.8932,1,0,3,3,15,1,stimuli/blank.png,Agony,l,0.8932,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,0.792865,1,0,4,4,0,1,stimuli/black_1.jpg,NaN,l,0.792865,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,0.67528,1,0,5,5,12,1,stimuli/blank.png,Happy,a,0.67528,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,0.59446,1,0,6,6,19,1,stimuli/blank.png,Nasty,l,0.59446,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,0.558705,1,0,7,7,8,1,stimuli/black_5.jpg,NaN,l,0.558705,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,0.659815,1,0,8,8,11,1,stimuli/blank.png,Bad,l,0.659815,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,0.64202,1,0,9,9,7,1,stimuli/white_4.jpg,NaN,a,0.64202,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,1.06169,1,0,10,10,9,1,stimuli/white_5.jpg,NaN,a,1.06169,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,0.7104,1,0,11,11,3,1,stimuli/white_2.jpg,NaN,a,0.7104,,,,,,,,
,,,,,,,,,,,,,prm,1,001,male,2020-10-06_13h19.49.391,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,0.60763,1,0,12,12,4,1,stimuli/black_3.jpg,NaN,l,0.60763,,,,,,,,
