instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.011805556,-0.3875,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",prova,1,001,male,2023-01-12_10h43.25.846,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.002777778,-0.384722222,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",prova,1,001,male,2023-01-12_10h43.25.846,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,prova,1,001,male,2023-01-12_10h43.25.846,openIAT,2020.1.0rc3,Win32,60,a,0,1.061,,,,,,,,1.061,0,0,0,0,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,prova,1,001,male,2023-01-12_10h43.25.846,openIAT,2020.1.0rc3,Win32,60,l,1,8.293,,,,,,,,8.293,1,0,1,1,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,prova,1,001,male,2023-01-12_10h43.25.846,openIAT,2020.1.0rc3,Win32,60,a,1,0.899,,,,,,,,0.899,1,0,2,2,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,prova,1,001,male,2023-01-12_10h43.25.846,openIAT,2020.1.0rc3,Win32,60,l,1,1.057,,,,,,,,1.057,1,0,3,3,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,prova,1,001,male,2023-01-12_10h43.25.846,openIAT,2020.1.0rc3,Win32,60,a,1,1.888,,,,,,,,1.888,1,0,4,4,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,prova,1,001,male,2023-01-12_10h43.25.846,openIAT,2020.1.0rc3,Win32,60,l,1,1.284,,,,,,,,1.284,1,0,5,5,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,prova,1,001,male,2023-01-12_10h43.25.846,openIAT,2020.1.0rc3,Win32,60,a,1,1.218,,,,,,,,1.218,1,0,6,6,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,prova,1,001,male,2023-01-12_10h43.25.846,openIAT,2020.1.0rc3,Win32,60,l,0,0.796,,,,,,,,0.796,0,0,7,7,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,prova,1,001,male,2023-01-12_10h43.25.846,openIAT,2020.1.0rc3,Win32,60,l,1,5.821,,,,,,,,5.821,1,0,8,8,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,prova,1,001,male,2023-01-12_10h43.25.846,openIAT,2020.1.0rc3,Win32,60,a,1,1.333,,,,,,,,1.333,1,0,9,9,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,prova,1,001,male,2023-01-12_10h43.25.846,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,prova,1,001,male,2023-01-12_10h43.25.846,openIAT,2020.1.0rc3,Win32,60,a,0,2.046,,,,,,,,2.046,0,0,0,0,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,prova,1,001,male,2023-01-12_10h43.25.846,openIAT,2020.1.0rc3,Win32,60,l,1,7.817,,,,,,,,7.817,1,0,1,1,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,prova,1,001,male,2023-01-12_10h43.25.846,openIAT,2020.1.0rc3,Win32,60,l,0,2.186,,,,,,,,2.186,0,0,2,2,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,prova,1,001,male,2023-01-12_10h43.25.846,openIAT,2020.1.0rc3,Win32,60,a,1,1.27,,,,,,,,1.27,1,0,3,3,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,prova,1,001,male,2023-01-12_10h43.25.846,openIAT,2020.1.0rc3,Win32,60,a,1,1.196,,,,,,,,1.196,1,0,4,4,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,prova,1,001,male,2023-01-12_10h43.25.846,openIAT,2020.1.0rc3,Win32,60,l,0,1.776,,,,,,,,1.776,0,0,5,5,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,prova,1,001,male,2023-01-12_10h43.25.846,openIAT,2020.1.0rc3,Win32,60,a,0,0.998,,,,,,,,0.998,0,0,6,6,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,prova,1,001,male,2023-01-12_10h43.25.846,openIAT,2020.1.0rc3,Win32,60,l,1,1.484,,,,,,,,1.484,1,0,7,7,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,prova,1,001,male,2023-01-12_10h43.25.846,openIAT,2020.1.0rc3,Win32,60,a,1,1.232,,,,,,,,1.232,1,0,8,8,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,prova,1,001,male,2023-01-12_10h43.25.846,openIAT,2020.1.0rc3,Win32,60,l,1,0.835,,,,,,,,0.835,1,0,9,9,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,prova,1,001,male,2023-01-12_10h43.25.846,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,prova,1,001,male,2023-01-12_10h43.25.846,openIAT,2020.1.0rc3,Win32,60,a,1,1.122,,,,,,,,1.122,1,0,0,0,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,prova,1,001,male,2023-01-12_10h43.25.846,openIAT,2020.1.0rc3,Win32,60,a,1,1.224,,,,,,,,1.224,1,0,1,1,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,prova,1,001,male,2023-01-12_10h43.25.846,openIAT,2020.1.0rc3,Win32,60,l,1,0.782,,,,,,,,0.782,1,0,2,2,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
