instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.019440104,-0.409123264,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",rebecca,1,001,female,2020-10-29_01h39.58.009,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.110264757,-0.381019965,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",rebecca,1,001,female,2020-10-29_01h39.58.009,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,rebecca,1,001,female,2020-10-29_01h39.58.009,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.778235,,,,,,,,0.778235,1,0,0,0,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,rebecca,1,001,female,2020-10-29_01h39.58.009,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.396445,,,,,,,,0.396445,1,0,1,1,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,rebecca,1,001,female,2020-10-29_01h39.58.009,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.447755,,,,,,,,0.447755,1,0,2,2,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,rebecca,1,001,female,2020-10-29_01h39.58.009,openIAT,2020.1.0rc3,MacIntel,60,l,0,0.344195,,,,,,,,0.344195,0,0,3,3,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,rebecca,1,001,female,2020-10-29_01h39.58.009,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.78074,,,,,,,,0.78074,1,0,4,4,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,rebecca,1,001,female,2020-10-29_01h39.58.009,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.49367,,,,,,,,0.49367,1,0,5,5,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,rebecca,1,001,female,2020-10-29_01h39.58.009,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.626675,,,,,,,,0.626675,1,0,6,6,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,rebecca,1,001,female,2020-10-29_01h39.58.009,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.56879,,,,,,,,0.56879,1,0,7,7,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
