instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns
0.110185199,-0.405555584,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",sada,1,001,female,2022-07-16_17h24.11.349,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,
0.110185199,-0.405555584,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",sada,1,001,female,2022-07-16_17h24.11.349,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,sada,1,001,female,2022-07-16_17h24.11.349,openIAT,2020.1.0rc3,Win32,60,,0,0.320370427,-0.300925926,1,0,0,0.08,button_right,0.08,0,0,0,0,0,1,stimuli/blank.png,Good,a
,,,,,,,,,,,,,sada,1,001,female,2022-07-16_17h24.11.349,openIAT,2020.1.0rc3,Win32,60,,0,0.320370427,-0.300925926,1,0,0,0.7649,button_right,0.7649,0,0,1,1,4,1,stimuli/blank.png,Pleasure,a
,,,,,,,,,,,,,sada,1,001,female,2022-07-16_17h24.11.349,openIAT,2020.1.0rc3,Win32,60,,0,-0.236842105,-0.280263158,1,0,0,1.6483,button_left,1.6483,0,0,2,2,7,1,stimuli/blank.png,Evil,l
,,,,,,,,,,,,,sada,1,001,female,2022-07-16_17h24.11.349,openIAT,2020.1.0rc3,Win32,60,,0,-0.236842105,-0.280263158,1,0,0,2.4644,button_left,2.4644,1,0,3,3,2,1,stimuli/blank.png,Happy,a
,,,,,,,,,,,,,sada,1,001,female,2022-07-16_17h24.11.349,openIAT,2020.1.0rc3,Win32,60,,0,-0.236842105,-0.280263158,1,0,0,0.6816,button_left,0.6816,0,0,4,4,3,1,stimuli/blank.png,Hurt,l
,,,,,,,,,,,,,sada,1,001,female,2022-07-16_17h24.11.349,openIAT,2020.1.0rc3,Win32,60,,0,-0.289473684,-0.298157943,1,0,0,2.7647,button_left,2.7647,1,0,5,5,8,1,stimuli/blank.png,Joy,a
,,,,,,,,,,,,,sada,1,001,female,2022-07-16_17h24.11.349,openIAT,2020.1.0rc3,Win32,60,,0,-0.289473684,-0.298157943,1,0,0,0.9819,button_left,0.9819,1,0,6,6,6,1,stimuli/blank.png,Love,a
,,,,,,,,,,,,,sada,1,001,female,2022-07-16_17h24.11.349,openIAT,2020.1.0rc3,Win32,60,,0,0.434736874,-0.345526364,1,0,0,1.5987,button_right,1.5987,1,0,7,7,9,1,stimuli/blank.png,Nasty,l
,,,,,,,,,,,,,sada,1,001,female,2022-07-16_17h24.11.349,openIAT,2020.1.0rc3,Win32,60,,0,0.398947465,-0.346578979,1,0,0,1.1821,button_right,1.1821,1,0,8,8,1,1,stimuli/blank.png,Bad,l
