instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.064031434,-0.361246053,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",sana,2,001,female,2021-09-23_12h26.40.487,openIAT,2020.1.0rc3,Linux aarch64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.101017109,-0.381588093,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",sana,2,001,female,2021-09-23_12h26.40.487,openIAT,2020.1.0rc3,Linux aarch64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,sana,2,001,female,2021-09-23_12h26.40.487,openIAT,2020.1.0rc3,Linux aarch64,60,,0,-0.344660194,-0.352924236,1,0,0,2.1625,button_left,2.1625,1,0,0,0,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,sana,2,001,female,2021-09-23_12h26.40.487,openIAT,2020.1.0rc3,Linux aarch64,60,,0,0.317383257,-0.285425427,1,0,0,1.3293,button_right,1.3293,1,0,1,1,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,sana,2,001,female,2021-09-23_12h26.40.487,openIAT,2020.1.0rc3,Linux aarch64,60,,0,0.010402235,0.028952812,1,0,0,0.0234,button_left,0.0234,1,0,2,2,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,sana,2,001,female,2021-09-23_12h26.40.487,openIAT,2020.1.0rc3,Linux aarch64,60,,0,0.287794835,-0.347376407,1,0,0,0.8316,button_right,0.8316,1,0,3,3,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,sana,2,001,female,2021-09-23_12h26.40.487,openIAT,2020.1.0rc3,Linux aarch64,60,,0,0.335876094,-0.307616743,1,0,0,2.124,button_right,2.124,1,0,4,4,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,sana,2,001,female,2021-09-23_12h26.40.487,openIAT,2020.1.0rc3,Linux aarch64,60,,0,-0.38164586,-0.336280601,1,0,0,1.1172,button_left,1.1172,1,0,5,5,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,sana,2,001,female,2021-09-23_12h26.40.487,openIAT,2020.1.0rc3,Linux aarch64,60,,0,0.334951456,-0.309466019,1,0,0,3.0424,button_right,3.0424,0,0,6,6,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,sana,2,001,female,2021-09-23_12h26.40.487,openIAT,2020.1.0rc3,Linux aarch64,60,,0,0.273925115,-0.394533028,1,0,0,0.7833,button_right,0.7833,1,0,7,7,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,sana,2,001,female,2021-09-23_12h26.40.487,openIAT,2020.1.0rc3,Linux aarch64,60,,0,-0.340961623,-0.36309533,1,0,0,0.6683,button_left,0.6683,1,0,8,8,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,sana,2,001,female,2021-09-23_12h26.40.487,openIAT,2020.1.0rc3,Linux aarch64,60,,0,0.317383257,-0.350150247,1,0,0,0.7019,button_right,0.7019,1,0,9,9,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,sana,2,001,female,2021-09-23_12h26.40.487,openIAT,2020.1.0rc3,Linux aarch64,60,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,sana,2,001,female,2021-09-23_12h26.40.487,openIAT,2020.1.0rc3,Linux aarch64,60,,0,-0.355755889,-0.3538488,1,0,0,1.2113,button_left,1.2113,1,0,0,0,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,sana,2,001,female,2021-09-23_12h26.40.487,openIAT,2020.1.0rc3,Linux aarch64,60,,0,0.346047263,-0.302068914,1,0,0,0.6627,button_right,0.6627,1,0,1,1,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,sana,2,001,female,2021-09-23_12h26.40.487,openIAT,2020.1.0rc3,Linux aarch64,60,,0,-0.340961623,-0.372341712,1,0,0,0.5337,button_left,0.5337,1,0,2,2,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,sana,2,001,female,2021-09-23_12h26.40.487,openIAT,2020.1.0rc3,Linux aarch64,60,,0,-0.347434118,-0.351075108,1,0,0,0.4839,button_left,0.4839,1,0,3,3,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,sana,2,001,female,2021-09-23_12h26.40.487,openIAT,2020.1.0rc3,Linux aarch64,60,,0,-0.368700879,-0.331657632,1,0,0,0.6357,button_left,0.6357,1,0,4,4,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,sana,2,001,female,2021-09-23_12h26.40.487,openIAT,2020.1.0rc3,Linux aarch64,60,,0,0.315533981,-0.336280601,1,0,0,1.3406,button_right,1.3406,1,0,5,5,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,sana,2,001,female,2021-09-23_12h26.40.487,openIAT,2020.1.0rc3,Linux aarch64,60,,0,0.307212311,-0.3538488,1,0,0,0.6125,button_right,0.6125,1,0,6,6,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,sana,2,001,female,2021-09-23_12h26.40.487,openIAT,2020.1.0rc3,Linux aarch64,60,,0,-0.361303746,-0.340903865,1,0,0,0.5686,button_left,0.5686,1,0,7,7,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,sana,2,001,female,2021-09-23_12h26.40.487,openIAT,2020.1.0rc3,Linux aarch64,60,,0,0.338650009,-0.323335666,1,0,0,0.7715,button_right,0.7715,1,0,8,8,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,sana,2,001,female,2021-09-23_12h26.40.487,openIAT,2020.1.0rc3,Linux aarch64,60,,0,0.350670379,-0.346451695,1,0,0,0.5569,button_right,0.5569,1,0,9,9,1,1,stimuli/white_1.jpg,,l,,,,,,,,
