instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.049069101,-0.396450806,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",sdfdsf,1,001,female,2023-03-06_16h28.32.749,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.049069101,-0.396450806,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",sdfdsf,1,001,female,2023-03-06_16h28.32.749,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,sdfdsf,1,001,female,2023-03-06_16h28.32.749,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.293898293,-0.331250283,1,0,0,2.1967,button_left,2.1967,1,0,0,0,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,sdfdsf,1,001,female,2023-03-06_16h28.32.749,openIAT,2020.1.0rc3,MacIntel,60,,0,0.051179756,-0.038847396,1,0,0,4.2331,button_left,4.2331,0,0,1,1,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,sdfdsf,1,001,female,2023-03-06_16h28.32.749,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.133505219,-0.164486709,1,0,0,0.2324,button_left,0.2324,0,0,2,2,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,sdfdsf,1,001,female,2023-03-06_16h28.32.749,openIAT,2020.1.0rc3,MacIntel,60,,0,-0.280871567,-0.298125628,1,0,0,3.2004,button_left,3.2004,0,0,3,3,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,sdfdsf,1,001,female,2023-03-06_16h28.32.749,openIAT,2020.1.0rc3,MacIntel,60,,0,0.280516689,-0.283024464,1,0,0,1.9322,button_right,1.9322,0,0,4,4,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,sdfdsf,1,001,female,2023-03-06_16h28.32.749,openIAT,2020.1.0rc3,MacIntel,60,,0,0.296551454,-0.285199508,1,0,0,0.766,button_right,0.766,1,0,5,5,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,sdfdsf,1,001,female,2023-03-06_16h28.32.749,openIAT,2020.1.0rc3,MacIntel,60,,0,0.296551454,-0.285199508,1,0,0,0.5989,button_right,0.5989,1,0,6,6,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,sdfdsf,1,001,female,2023-03-06_16h28.32.749,openIAT,2020.1.0rc3,MacIntel,60,,0,0.296551454,-0.285199508,1,0,0,1.4657,button_right,1.4657,0,0,7,7,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,sdfdsf,1,001,female,2023-03-06_16h28.32.749,openIAT,2020.1.0rc3,MacIntel,60,,0,0.296551454,-0.285199508,1,0,0,0.5989,button_right,0.5989,0,0,8,8,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,sdfdsf,1,001,female,2023-03-06_16h28.32.749,openIAT,2020.1.0rc3,MacIntel,60,,0,0.32252695,-0.282837729,1,0,0,0.5648,button_right,0.5648,0,0,9,9,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,sdfdsf,1,001,female,2023-03-06_16h28.32.749,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,sdfdsf,1,001,female,2023-03-06_16h28.32.749,openIAT,2020.1.0rc3,MacIntel,60,,0,0.362251356,-0.301236199,1,0,0,2.3005,button_right,2.3005,0,0,0,0,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,sdfdsf,1,001,female,2023-03-06_16h28.32.749,openIAT,2020.1.0rc3,MacIntel,60,,0,0.362251356,-0.301236199,1,0,0,1.5325,button_right,1.5325,1,0,1,1,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,sdfdsf,1,001,female,2023-03-06_16h28.32.749,openIAT,2020.1.0rc3,MacIntel,60,,0,0.362251356,-0.301236199,1,0,0,1.433,button_right,1.433,1,0,2,2,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,sdfdsf,1,001,female,2023-03-06_16h28.32.749,openIAT,2020.1.0rc3,MacIntel,60,,0,0.362251356,-0.301236199,1,0,0,0.9984,button_right,0.9984,0,0,3,3,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
