instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,key_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.037963019,-0.399074131,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",sdfs,1,001,male,2023-05-31_14h44.28.760,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.037963019,-0.399074131,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",sdfs,1,001,male,2023-05-31_14h44.28.760,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,sdfs,1,001,male,2023-05-31_14h44.28.760,openIAT,2020.1.0rc3,Win32,60,,0,0.308333333,-0.25648151,1,0,0,1.545,button_right,1.545,1,0,0,0,5,1,stimuli/blank.png,Agony,l,,,,,,,,,
,,,,,,,,,,,,,sdfs,1,001,male,2023-05-31_14h44.28.760,openIAT,2020.1.0rc3,Win32,60,,0,0.360185242,-0.298148176,1,0,0,10.2652,button_right,10.2652,1,0,1,1,7,1,stimuli/blank.png,Evil,l,,,,,,,,,
,,,,,,,,,,,,,sdfs,1,001,male,2023-05-31_14h44.28.760,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,1.2796,1,0,2,2,2,1,stimuli/blank.png,Happy,a,1.2796,,,,,,,,
,,,,,,,,,,,,,sdfs,1,001,male,2023-05-31_14h44.28.760,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,1.3605,1,0,3,3,8,1,stimuli/blank.png,Joy,a,1.3605,,,,,,,,
,,,,,,,,,,,,,sdfs,1,001,male,2023-05-31_14h44.28.760,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,1.0501,1,0,4,4,0,1,stimuli/blank.png,Good,a,1.0501,,,,,,,,
,,,,,,,,,,,,,sdfs,1,001,male,2023-05-31_14h44.28.760,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,2.5802,1,0,5,5,9,1,stimuli/blank.png,Nasty,l,2.5802,,,,,,,,
,,,,,,,,,,,,,sdfs,1,001,male,2023-05-31_14h44.28.760,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,0.7191,1,0,6,6,3,1,stimuli/blank.png,Hurt,l,0.7191,,,,,,,,
,,,,,,,,,,,,,sdfs,1,001,male,2023-05-31_14h44.28.760,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,0.636,1,0,7,7,6,1,stimuli/blank.png,Love,a,0.636,,,,,,,,
,,,,,,,,,,,,,sdfs,1,001,male,2023-05-31_14h44.28.760,openIAT,2020.1.0rc3,Win32,60,a,1,,,,,,,,0.7873,1,0,8,8,4,1,stimuli/blank.png,Pleasure,a,0.7873,,,,,,,,
,,,,,,,,,,,,,sdfs,1,001,male,2023-05-31_14h44.28.760,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,0.6127,1,0,9,9,1,1,stimuli/blank.png,Bad,l,0.6127,,,,,,,,
,,,,,,,,,,,,,sdfs,1,001,male,2023-05-31_14h44.28.760,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,sdfs,1,001,male,2023-05-31_14h44.28.760,openIAT,2020.1.0rc3,Win32,60,l,1,,,,,,,,2.3021,1,0,0,0,4,1,stimuli/black_3.jpg,NaN,l,2.3021,,,,,,,,
,,,,,,,,,,,,,sdfs,1,001,male,2023-05-31_14h44.28.760,openIAT,2020.1.0rc3,Win32,60,l,0,,,,,,,,1.0766,0,0,1,1,3,1,stimuli/white_2.jpg,NaN,a,1.0766,,,,,,,,
