instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.055555556,-0.391666667,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",simone,1,001,female,2023-04-10_11h37.43.953,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.012962963,-0.374074074,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",simone,1,001,female,2023-04-10_11h37.43.953,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,simone,1,001,female,2023-04-10_11h37.43.953,openIAT,2020.1.0rc3,Win32,60,a,1,1.9542,,,,,,,,1.9542,1,0,0,0,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,simone,1,001,female,2023-04-10_11h37.43.953,openIAT,2020.1.0rc3,Win32,60,a,1,1.281,,,,,,,,1.281,1,0,1,1,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,simone,1,001,female,2023-04-10_11h37.43.953,openIAT,2020.1.0rc3,Win32,60,a,1,1.0349,,,,,,,,1.0349,1,0,2,2,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,simone,1,001,female,2023-04-10_11h37.43.953,openIAT,2020.1.0rc3,Win32,60,a,1,1.0797,,,,,,,,1.0797,1,0,3,3,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,simone,1,001,female,2023-04-10_11h37.43.953,openIAT,2020.1.0rc3,Win32,60,a,1,0.8196,,,,,,,,0.8196,1,0,4,4,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,simone,1,001,female,2023-04-10_11h37.43.953,openIAT,2020.1.0rc3,Win32,60,l,1,0.9557,,,,,,,,0.9557,1,0,5,5,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,simone,1,001,female,2023-04-10_11h37.43.953,openIAT,2020.1.0rc3,Win32,60,l,1,0.6965,,,,,,,,0.6965,1,0,6,6,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,simone,1,001,female,2023-04-10_11h37.43.953,openIAT,2020.1.0rc3,Win32,60,l,1,0.7131,,,,,,,,0.7131,1,0,7,7,7,1,stimuli/blank.png,Evil,l,,,,,,,,
