instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.008677843,-0.388880751,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",sl,1,001,male,2022-05-17_18h00.57.679,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.008506944,-0.38937717,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",sl,1,001,male,2022-05-17_18h00.57.679,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,sl,1,001,male,2022-05-17_18h00.57.679,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.8113,,,,,,,,1.8113,1,0,0,0,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,sl,1,001,male,2022-05-17_18h00.57.679,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.232,,,,,,,,1.232,1,0,1,1,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,sl,1,001,male,2022-05-17_18h00.57.679,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.8028,,,,,,,,0.8028,1,0,2,2,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,sl,1,001,male,2022-05-17_18h00.57.679,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6422,,,,,,,,0.6422,1,0,3,3,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,sl,1,001,male,2022-05-17_18h00.57.679,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7009,,,,,,,,0.7009,1,0,4,4,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,sl,1,001,male,2022-05-17_18h00.57.679,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6203,,,,,,,,0.6203,1,0,5,5,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,sl,1,001,male,2022-05-17_18h00.57.679,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.499,,,,,,,,0.499,1,0,6,6,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,sl,1,001,male,2022-05-17_18h00.57.679,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6988,,,,,,,,0.6988,1,0,7,7,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,sl,1,001,male,2022-05-17_18h00.57.679,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.3833,,,,,,,,0.3833,1,0,8,8,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,sl,1,001,male,2022-05-17_18h00.57.679,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.4988,,,,,,,,0.4988,1,0,9,9,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,sl,1,001,male,2022-05-17_18h00.57.679,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,sl,1,001,male,2022-05-17_18h00.57.679,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.6767,,,,,,,,1.6767,1,0,0,0,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,sl,1,001,male,2022-05-17_18h00.57.679,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.3332,,,,,,,,1.3332,1,0,1,1,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
