instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.002777778,-0.394444444,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",sss,2,001,male,2022-11-28_14h47.25.139,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00462963,-0.414814815,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",sss,2,001,male,2022-11-28_14h47.25.139,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,sss,2,001,male,2022-11-28_14h47.25.139,openIAT,2020.1.0rc3,Win32,60,a,1,0.8684,,,,,,,,0.8684,1,0,0,0,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,sss,2,001,male,2022-11-28_14h47.25.139,openIAT,2020.1.0rc3,Win32,60,l,1,0.654,,,,,,,,0.654,1,0,1,1,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,sss,2,001,male,2022-11-28_14h47.25.139,openIAT,2020.1.0rc3,Win32,60,l,1,0.5878,,,,,,,,0.5878,1,0,2,2,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,sss,2,001,male,2022-11-28_14h47.25.139,openIAT,2020.1.0rc3,Win32,60,a,1,0.8475,,,,,,,,0.8475,1,0,3,3,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,sss,2,001,male,2022-11-28_14h47.25.139,openIAT,2020.1.0rc3,Win32,60,a,1,0.5121,,,,,,,,0.5121,1,0,4,4,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,sss,2,001,male,2022-11-28_14h47.25.139,openIAT,2020.1.0rc3,Win32,60,a,1,0.554,,,,,,,,0.554,1,0,5,5,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,sss,2,001,male,2022-11-28_14h47.25.139,openIAT,2020.1.0rc3,Win32,60,l,1,0.8475,,,,,,,,0.8475,1,0,6,6,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,sss,2,001,male,2022-11-28_14h47.25.139,openIAT,2020.1.0rc3,Win32,60,a,0,0.5613,,,,,,,,0.5613,0,0,7,7,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,sss,2,001,male,2022-11-28_14h47.25.139,openIAT,2020.1.0rc3,Win32,60,a,1,0.5876,,,,,,,,0.5876,1,0,8,8,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,sss,2,001,male,2022-11-28_14h47.25.139,openIAT,2020.1.0rc3,Win32,60,l,1,0.5516,,,,,,,,0.5516,1,0,9,9,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,sss,2,001,male,2022-11-28_14h47.25.139,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,sss,2,001,male,2022-11-28_14h47.25.139,openIAT,2020.1.0rc3,Win32,60,l,1,0.9266,,,,,,,,0.9266,1,0,0,0,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,sss,2,001,male,2022-11-28_14h47.25.139,openIAT,2020.1.0rc3,Win32,60,a,1,0.7243,,,,,,,,0.7243,1,0,1,1,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,sss,2,001,male,2022-11-28_14h47.25.139,openIAT,2020.1.0rc3,Win32,60,l,1,0.6041,,,,,,,,0.6041,1,0,2,2,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,sss,2,001,male,2022-11-28_14h47.25.139,openIAT,2020.1.0rc3,Win32,60,l,1,0.7975,,,,,,,,0.7975,1,0,3,3,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,sss,2,001,male,2022-11-28_14h47.25.139,openIAT,2020.1.0rc3,Win32,60,a,1,0.6984,,,,,,,,0.6984,1,0,4,4,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,sss,2,001,male,2022-11-28_14h47.25.139,openIAT,2020.1.0rc3,Win32,60,l,1,0.6314,,,,,,,,0.6314,1,0,5,5,5,1,stimuli/white_3.jpg,,l,,,,,,,,
