instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.035185185,-0.402777778,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",st,1,001,male,2021-06-12_10h39.11.912,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.035185185,-0.402777778,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",st,1,001,male,2021-06-12_10h39.11.912,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,st,1,001,male,2021-06-12_10h39.11.912,openIAT,2020.1.0rc3,Win32,60,l,1,0.9384,,,,,,,,0.9384,1,0,0,0,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,st,1,001,male,2021-06-12_10h39.11.912,openIAT,2020.1.0rc3,Win32,60,l,1,0.7573,,,,,,,,0.7573,1,0,1,1,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,st,1,001,male,2021-06-12_10h39.11.912,openIAT,2020.1.0rc3,Win32,60,a,1,0.9157,,,,,,,,0.9157,1,0,2,2,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,st,1,001,male,2021-06-12_10h39.11.912,openIAT,2020.1.0rc3,Win32,60,a,1,0.8332,,,,,,,,0.8332,1,0,3,3,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,st,1,001,male,2021-06-12_10h39.11.912,openIAT,2020.1.0rc3,Win32,60,l,1,0.8747,,,,,,,,0.8747,1,0,4,4,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,st,1,001,male,2021-06-12_10h39.11.912,openIAT,2020.1.0rc3,Win32,60,l,1,1.0787,,,,,,,,1.0787,1,0,5,5,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,st,1,001,male,2021-06-12_10h39.11.912,openIAT,2020.1.0rc3,Win32,60,a,1,0.6589,,,,,,,,0.6589,1,0,6,6,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,st,1,001,male,2021-06-12_10h39.11.912,openIAT,2020.1.0rc3,Win32,60,l,1,0.7735,,,,,,,,0.7735,1,0,7,7,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,st,1,001,male,2021-06-12_10h39.11.912,openIAT,2020.1.0rc3,Win32,60,a,1,0.653,,,,,,,,0.653,1,0,8,8,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,st,1,001,male,2021-06-12_10h39.11.912,openIAT,2020.1.0rc3,Win32,60,a,1,0.9874,,,,,,,,0.9874,1,0,9,9,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,st,1,001,male,2021-06-12_10h39.11.912,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,st,1,001,male,2021-06-12_10h39.11.912,openIAT,2020.1.0rc3,Win32,60,l,0,2.4061,,,,,,,,2.4061,0,0,0,0,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,st,1,001,male,2021-06-12_10h39.11.912,openIAT,2020.1.0rc3,Win32,60,a,1,1.3984,,,,,,,,1.3984,1,0,1,1,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,st,1,001,male,2021-06-12_10h39.11.912,openIAT,2020.1.0rc3,Win32,60,l,0,1.2876,,,,,,,,1.2876,0,0,2,2,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,st,1,001,male,2021-06-12_10h39.11.912,openIAT,2020.1.0rc3,Win32,60,l,1,1.1832,,,,,,,,1.1832,1,0,3,3,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,st,1,001,male,2021-06-12_10h39.11.912,openIAT,2020.1.0rc3,Win32,60,l,1,1.1199,,,,,,,,1.1199,1,0,4,4,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,st,1,001,male,2021-06-12_10h39.11.912,openIAT,2020.1.0rc3,Win32,60,a,1,1.9165,,,,,,,,1.9165,1,0,5,5,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,st,1,001,male,2021-06-12_10h39.11.912,openIAT,2020.1.0rc3,Win32,60,l,1,1.1245,,,,,,,,1.1245,1,0,6,6,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,st,1,001,male,2021-06-12_10h39.11.912,openIAT,2020.1.0rc3,Win32,60,l,1,0.7163,,,,,,,,0.7163,1,0,7,7,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,st,1,001,male,2021-06-12_10h39.11.912,openIAT,2020.1.0rc3,Win32,60,a,1,1.1938,,,,,,,,1.1938,1,0,8,8,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,st,1,001,male,2021-06-12_10h39.11.912,openIAT,2020.1.0rc3,Win32,60,l,1,0.9004,,,,,,,,0.9004,1,0,9,9,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,st,1,001,male,2021-06-12_10h39.11.912,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,st,1,001,male,2021-06-12_10h39.11.912,openIAT,2020.1.0rc3,Win32,60,l,1,0.9483,,,,,,,,0.9483,1,0,0,0,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,st,1,001,male,2021-06-12_10h39.11.912,openIAT,2020.1.0rc3,Win32,60,l,1,0.8819,,,,,,,,0.8819,1,0,1,1,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,st,1,001,male,2021-06-12_10h39.11.912,openIAT,2020.1.0rc3,Win32,60,a,1,1.9101,,,,,,,,1.9101,1,0,2,2,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,st,1,001,male,2021-06-12_10h39.11.912,openIAT,2020.1.0rc3,Win32,60,l,0,1.0851,,,,,,,,1.0851,0,0,3,3,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,st,1,001,male,2021-06-12_10h39.11.912,openIAT,2020.1.0rc3,Win32,60,l,1,0.7402,,,,,,,,0.7402,1,0,4,4,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,st,1,001,male,2021-06-12_10h39.11.912,openIAT,2020.1.0rc3,Win32,60,a,1,0.9849,,,,,,,,0.9849,1,0,5,5,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,st,1,001,male,2021-06-12_10h39.11.912,openIAT,2020.1.0rc3,Win32,60,l,1,0.843,,,,,,,,0.843,1,0,6,6,15,1,stimuli/blank.png,Agony,l,,,,,,,,
