instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.071289063,-0.377929688,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",tdrtdrt,2,001,male,2021-08-30_20h56.39.817,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.063476563,-0.385742188,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",tdrtdrt,2,001,male,2021-08-30_20h56.39.817,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tdrtdrt,2,001,male,2021-08-30_20h56.39.817,openIAT,2020.1.0rc3,Win32,60,a,1,1.3962,,,,,,,,1.3962,1,0,0,0,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,tdrtdrt,2,001,male,2021-08-30_20h56.39.817,openIAT,2020.1.0rc3,Win32,60,l,1,0.9105,,,,,,,,0.9105,1,0,1,1,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,tdrtdrt,2,001,male,2021-08-30_20h56.39.817,openIAT,2020.1.0rc3,Win32,60,a,1,0.7435,,,,,,,,0.7435,1,0,2,2,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,tdrtdrt,2,001,male,2021-08-30_20h56.39.817,openIAT,2020.1.0rc3,Win32,60,l,1,0.8261,,,,,,,,0.8261,1,0,3,3,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,tdrtdrt,2,001,male,2021-08-30_20h56.39.817,openIAT,2020.1.0rc3,Win32,60,a,1,0.6768,,,,,,,,0.6768,1,0,4,4,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,tdrtdrt,2,001,male,2021-08-30_20h56.39.817,openIAT,2020.1.0rc3,Win32,60,l,1,0.7818,,,,,,,,0.7818,1,0,5,5,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,tdrtdrt,2,001,male,2021-08-30_20h56.39.817,openIAT,2020.1.0rc3,Win32,60,a,1,0.6674,,,,,,,,0.6674,1,0,6,6,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,tdrtdrt,2,001,male,2021-08-30_20h56.39.817,openIAT,2020.1.0rc3,Win32,60,l,1,0.8021,,,,,,,,0.8021,1,0,7,7,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,tdrtdrt,2,001,male,2021-08-30_20h56.39.817,openIAT,2020.1.0rc3,Win32,60,a,1,0.9294,,,,,,,,0.9294,1,0,8,8,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,tdrtdrt,2,001,male,2021-08-30_20h56.39.817,openIAT,2020.1.0rc3,Win32,60,l,1,0.7024,,,,,,,,0.7024,1,0,9,9,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,tdrtdrt,2,001,male,2021-08-30_20h56.39.817,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,tdrtdrt,2,001,male,2021-08-30_20h56.39.817,openIAT,2020.1.0rc3,Win32,60,l,1,0.8255,,,,,,,,0.8255,1,0,0,0,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,tdrtdrt,2,001,male,2021-08-30_20h56.39.817,openIAT,2020.1.0rc3,Win32,60,l,1,0.6529,,,,,,,,0.6529,1,0,1,1,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,tdrtdrt,2,001,male,2021-08-30_20h56.39.817,openIAT,2020.1.0rc3,Win32,60,a,1,0.6754,,,,,,,,0.6754,1,0,2,2,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,tdrtdrt,2,001,male,2021-08-30_20h56.39.817,openIAT,2020.1.0rc3,Win32,60,a,1,0.7487,,,,,,,,0.7487,1,0,3,3,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,tdrtdrt,2,001,male,2021-08-30_20h56.39.817,openIAT,2020.1.0rc3,Win32,60,a,1,0.8444,,,,,,,,0.8444,1,0,4,4,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,tdrtdrt,2,001,male,2021-08-30_20h56.39.817,openIAT,2020.1.0rc3,Win32,60,a,1,0.9501,,,,,,,,0.9501,1,0,5,5,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,tdrtdrt,2,001,male,2021-08-30_20h56.39.817,openIAT,2020.1.0rc3,Win32,60,l,1,1.2362,,,,,,,,1.2362,1,0,6,6,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,tdrtdrt,2,001,male,2021-08-30_20h56.39.817,openIAT,2020.1.0rc3,Win32,60,l,1,0.5938,,,,,,,,0.5938,1,0,7,7,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,tdrtdrt,2,001,male,2021-08-30_20h56.39.817,openIAT,2020.1.0rc3,Win32,60,l,1,0.5444,,,,,,,,0.5444,1,0,8,8,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,tdrtdrt,2,001,male,2021-08-30_20h56.39.817,openIAT,2020.1.0rc3,Win32,60,a,1,0.5948,,,,,,,,0.5948,1,0,9,9,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,tdrtdrt,2,001,male,2021-08-30_20h56.39.817,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,,tdrtdrt,2,001,male,2021-08-30_20h56.39.817,openIAT,2020.1.0rc3,Win32,60,a,1,1.5318,,,,,,,,1.5318,1,0,0,0,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,tdrtdrt,2,001,male,2021-08-30_20h56.39.817,openIAT,2020.1.0rc3,Win32,60,a,1,0.8652,,,,,,,,0.8652,1,0,1,1,12,1,stimuli/blank.png,Happy,a,,,,,,,,
