instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.072104019,-0.367021277,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",temp1,1,001,male,2022-09-09_15h24.26.991,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0821513,-0.375295508,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",temp1,1,001,male,2022-09-09_15h24.26.991,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,temp1,1,001,male,2022-09-09_15h24.26.991,openIAT,2020.1.0rc3,MacIntel,60,a,0,2.966,,,,,,,,2.966,0,0,0,0,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,temp1,1,001,male,2022-09-09_15h24.26.991,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.966,,,,,,,,1.966,1,0,1,1,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,temp1,1,001,male,2022-09-09_15h24.26.991,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.91,,,,,,,,0.91,1,0,2,2,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,temp1,1,001,male,2022-09-09_15h24.26.991,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.137,,,,,,,,1.137,1,0,3,3,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,temp1,1,001,male,2022-09-09_15h24.26.991,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.2,,,,,,,,1.2,1,0,4,4,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,temp1,1,001,male,2022-09-09_15h24.26.991,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.915,,,,,,,,0.915,0,0,5,5,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,temp1,1,001,male,2022-09-09_15h24.26.991,openIAT,2020.1.0rc3,MacIntel,60,l,1,2.109,,,,,,,,2.109,1,0,6,6,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,temp1,1,001,male,2022-09-09_15h24.26.991,openIAT,2020.1.0rc3,MacIntel,60,l,0,1.018,,,,,,,,1.018,0,0,7,7,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,temp1,1,001,male,2022-09-09_15h24.26.991,openIAT,2020.1.0rc3,MacIntel,60,a,1,3.611,,,,,,,,3.611,1,0,8,8,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,temp1,1,001,male,2022-09-09_15h24.26.991,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.323,,,,,,,,1.323,1,0,9,9,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,temp1,1,001,male,2022-09-09_15h24.26.991,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,temp1,1,001,male,2022-09-09_15h24.26.991,openIAT,2020.1.0rc3,MacIntel,60,l,1,4.63,,,,,,,,4.63,1,0,0,0,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,temp1,1,001,male,2022-09-09_15h24.26.991,openIAT,2020.1.0rc3,MacIntel,60,a,1,5.618,,,,,,,,5.618,1,0,1,1,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,temp1,1,001,male,2022-09-09_15h24.26.991,openIAT,2020.1.0rc3,MacIntel,60,a,1,2.726,,,,,,,,2.726,1,0,2,2,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
