instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.054166667,-0.397222222,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.086111111,-0.406944444,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,l,1,1.09,,,,,,,,1.09,1,0,0,0,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,a,1,0.687,,,,,,,,0.687,1,0,1,1,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,a,1,0.526,,,,,,,,0.526,1,0,2,2,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,a,0,0.593,,,,,,,,0.593,0,0,3,3,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,a,1,0.89,,,,,,,,0.89,1,0,4,4,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,a,1,0.78,,,,,,,,0.78,1,0,5,5,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,l,1,0.592,,,,,,,,0.592,1,0,6,6,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,l,1,0.544,,,,,,,,0.544,1,0,7,7,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,a,1,0.625,,,,,,,,0.625,1,0,8,8,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,l,1,0.671,,,,,,,,0.671,1,0,9,9,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,a,1,1.855,,,,,,,,1.855,1,0,0,0,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,l,1,1.071,,,,,,,,1.071,1,0,1,1,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,l,1,0.78,,,,,,,,0.78,1,0,2,2,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,a,1,0.772,,,,,,,,0.772,1,0,3,3,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,a,1,1.02,,,,,,,,1.02,1,0,4,4,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,l,1,0.804,,,,,,,,0.804,1,0,5,5,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,l,0,0.761,,,,,,,,0.761,0,0,6,6,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,a,0,1.675,,,,,,,,1.675,0,0,7,7,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,l,1,0.606,,,,,,,,0.606,1,0,8,8,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,a,1,1.221,,,,,,,,1.221,1,0,9,9,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,a,0,2.093,,,,,,,,2.093,0,0,0,0,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,l,1,0.926,,,,,,,,0.926,1,0,1,1,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,a,1,1.055,,,,,,,,1.055,1,0,2,2,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,a,1,0.976,,,,,,,,0.976,1,0,3,3,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,a,1,0.97,,,,,,,,0.97,1,0,4,4,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,a,1,3.54,,,,,,,,3.54,1,0,5,5,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,l,1,0.821,,,,,,,,0.821,1,0,6,6,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,a,1,1.259,,,,,,,,1.259,1,0,7,7,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,a,1,0.607,,,,,,,,0.607,1,0,8,8,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,l,1,0.622,,,,,,,,0.622,1,0,9,9,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,l,1,1.036,,,,,,,,1.036,1,0,10,10,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,a,1,1.01,,,,,,,,1.01,1,0,11,11,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,l,1,1.321,,,,,,,,1.321,1,0,12,12,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,a,1,0.764,,,,,,,,0.764,1,0,13,13,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,teste,1,001,male,2020-09-03_18h47.55.932,openIAT,2020.1.0rc3,Win32,60,a,1,0.92,,,,,,,,0.92,1,0,14,14,10,1,stimuli/blank.png,Good,a,,,,,,,,
