instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.043413628,-0.381177662,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",th,1,001,male,2022-05-30_16h47.42.771,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.042907263,-0.400278501,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",th,1,001,male,2022-05-30_16h47.42.771,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,th,1,001,male,2022-05-30_16h47.42.771,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.9042,,,,,,,,0.9042,1,0,0,0,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,th,1,001,male,2022-05-30_16h47.42.771,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.8305,,,,,,,,0.8305,1,0,1,1,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,th,1,001,male,2022-05-30_16h47.42.771,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6393,,,,,,,,0.6393,1,0,2,2,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,th,1,001,male,2022-05-30_16h47.42.771,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7503,,,,,,,,0.7503,1,0,3,3,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,th,1,001,male,2022-05-30_16h47.42.771,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5969,,,,,,,,0.5969,1,0,4,4,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,th,1,001,male,2022-05-30_16h47.42.771,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6379,,,,,,,,0.6379,1,0,5,5,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,th,1,001,male,2022-05-30_16h47.42.771,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6186,,,,,,,,0.6186,1,0,6,6,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,th,1,001,male,2022-05-30_16h47.42.771,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6327,,,,,,,,0.6327,1,0,7,7,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,th,1,001,male,2022-05-30_16h47.42.771,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5666,,,,,,,,0.5666,1,0,8,8,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,th,1,001,male,2022-05-30_16h47.42.771,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7188,,,,,,,,0.7188,1,0,9,9,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,th,1,001,male,2022-05-30_16h47.42.771,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,th,1,001,male,2022-05-30_16h47.42.771,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.9846,,,,,,,,0.9846,1,0,0,0,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,th,1,001,male,2022-05-30_16h47.42.771,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.946,,,,,,,,0.946,1,0,1,1,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,th,1,001,male,2022-05-30_16h47.42.771,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.9958,,,,,,,,0.9958,1,0,2,2,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,th,1,001,male,2022-05-30_16h47.42.771,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.8632,,,,,,,,0.8632,1,0,3,3,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,th,1,001,male,2022-05-30_16h47.42.771,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5145,,,,,,,,0.5145,1,0,4,4,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,th,1,001,male,2022-05-30_16h47.42.771,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5821,,,,,,,,0.5821,1,0,5,5,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,th,1,001,male,2022-05-30_16h47.42.771,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6131,,,,,,,,0.6131,1,0,6,6,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,th,1,001,male,2022-05-30_16h47.42.771,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7615,,,,,,,,0.7615,1,0,7,7,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,th,1,001,male,2022-05-30_16h47.42.771,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.964,,,,,,,,0.964,1,0,8,8,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,th,1,001,male,2022-05-30_16h47.42.771,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7252,,,,,,,,0.7252,1,0,9,9,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,th,1,001,male,2022-05-30_16h47.42.771,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,th,1,001,male,2022-05-30_16h47.42.771,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6631,,,,,,,,0.6631,1,0,0,0,11,1,stimuli/blank.png,Bad,l,,,,,,,,
