instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.119791667,-0.377604167,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.119791667,-0.377604167,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,a,1,3.603,,,,,,,,3.603,1,0,0,0,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,l,1,1.1134,,,,,,,,1.1134,1,0,1,1,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,a,1,0.6678,,,,,,,,0.6678,1,0,2,2,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,a,1,0.5925,,,,,,,,0.5925,1,0,3,3,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,l,1,1.0287,,,,,,,,1.0287,1,0,4,4,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,a,1,0.6826,,,,,,,,0.6826,1,0,5,5,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,l,1,0.9165,,,,,,,,0.9165,1,0,6,6,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,l,1,0.7519,,,,,,,,0.7519,1,0,7,7,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,l,1,0.7934,,,,,,,,0.7934,1,0,8,8,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,a,1,0.6312,,,,,,,,0.6312,1,0,9,9,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,l,1,1.5574,,,,,,,,1.5574,1,0,0,0,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,a,1,0.5986,,,,,,,,0.5986,1,0,1,1,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,a,1,0.4538,,,,,,,,0.4538,1,0,2,2,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,a,1,0.4269,,,,,,,,0.4269,1,0,3,3,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,a,1,0.5893,,,,,,,,0.5893,1,0,4,4,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,l,1,0.5147,,,,,,,,0.5147,1,0,5,5,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,a,0,0.9096,,,,,,,,0.9096,0,0,6,6,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,l,1,0.9171,,,,,,,,0.9171,1,0,7,7,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,a,1,0.642,,,,,,,,0.642,1,0,8,8,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,l,1,1.0234,,,,,,,,1.0234,1,0,9,9,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,l,1,0.9003,,,,,,,,0.9003,1,0,0,0,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,l,0,0.9835,,,,,,,,0.9835,0,0,1,1,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,a,1,1.3335,,,,,,,,1.3335,1,0,2,2,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,a,1,1.9693,,,,,,,,1.9693,1,0,3,3,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,l,1,0.9282,,,,,,,,0.9282,1,0,4,4,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,a,1,1.1149,,,,,,,,1.1149,1,0,5,5,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,a,1,1.2288,,,,,,,,1.2288,1,0,6,6,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,a,1,0.8441,,,,,,,,0.8441,1,0,7,7,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,l,1,1.2715,,,,,,,,1.2715,1,0,8,8,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,l,1,0.7621,,,,,,,,0.7621,1,0,9,9,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,a,0,1.0662,,,,,,,,1.0662,0,0,10,10,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,a,1,1.4144,,,,,,,,1.4144,1,0,11,11,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,l,1,0.8127,,,,,,,,0.8127,1,0,12,12,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,l,1,1.2767,,,,,,,,1.2767,1,0,13,13,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,l,1,1.1587,,,,,,,,1.1587,1,0,14,14,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,a,1,1.2094,,,,,,,,1.2094,1,0,15,15,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,a,1,0.9099,,,,,,,,0.9099,1,0,16,16,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,a,1,1.0547,,,,,,,,1.0547,1,0,17,17,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,l,1,1.0279,,,,,,,,1.0279,1,0,18,18,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,l,1,0.6261,,,,,,,,0.6261,1,0,19,19,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,incong_test.xlsx,"A = 
Black or 
Positive","L = 
White or 
Negative"
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,a,1,1.1994,,,,,,,,1.1994,1,0,0,0,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,a,1,0.5443,,,,,,,,0.5443,1,0,1,1,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,l,1,0.6475,,,,,,,,0.6475,1,0,2,2,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,thamitesttai1,2,001,female,2022-11-21_09h19.10.670,openIAT,2020.1.0rc3,Win32,60,l,1,0.6611,,,,,,,,0.6611,1,0,3,3,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
