instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.007146991,-0.40844494,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",tim,2,001,male,2022-09-21_09h31.38.921,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.26182209,-0.128554894,0,0,0,,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",tim,2,001,male,2022-09-21_09h31.38.921,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tim,2,001,male,2022-09-21_09h31.38.921,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.4339,,,,,,,,0.4339,1,0,0,0,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,tim,2,001,male,2022-09-21_09h31.38.921,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.8582,,,,,,,,0.8582,1,0,1,1,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,tim,2,001,male,2022-09-21_09h31.38.921,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7618,,,,,,,,0.7618,1,0,2,2,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,tim,2,001,male,2022-09-21_09h31.38.921,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5896,,,,,,,,0.5896,1,0,3,3,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,tim,2,001,male,2022-09-21_09h31.38.921,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5811,,,,,,,,0.5811,1,0,4,4,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,tim,2,001,male,2022-09-21_09h31.38.921,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5736,,,,,,,,0.5736,1,0,5,5,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,tim,2,001,male,2022-09-21_09h31.38.921,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5362,,,,,,,,0.5362,1,0,6,6,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,tim,2,001,male,2022-09-21_09h31.38.921,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5275,,,,,,,,0.5275,1,0,7,7,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,tim,2,001,male,2022-09-21_09h31.38.921,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5003,,,,,,,,0.5003,1,0,8,8,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,tim,2,001,male,2022-09-21_09h31.38.921,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.507,,,,,,,,0.507,1,0,9,9,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,tim,2,001,male,2022-09-21_09h31.38.921,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,tim,2,001,male,2022-09-21_09h31.38.921,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7921,,,,,,,,0.7921,1,0,0,0,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,tim,2,001,male,2022-09-21_09h31.38.921,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5773,,,,,,,,0.5773,1,0,1,1,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,tim,2,001,male,2022-09-21_09h31.38.921,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6011,,,,,,,,0.6011,1,0,2,2,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,tim,2,001,male,2022-09-21_09h31.38.921,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5986,,,,,,,,0.5986,1,0,3,3,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,tim,2,001,male,2022-09-21_09h31.38.921,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.9212,,,,,,,,0.9212,1,0,4,4,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,tim,2,001,male,2022-09-21_09h31.38.921,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.518,,,,,,,,0.518,1,0,5,5,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,tim,2,001,male,2022-09-21_09h31.38.921,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5031,,,,,,,,0.5031,1,0,6,6,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,tim,2,001,male,2022-09-21_09h31.38.921,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5223,,,,,,,,0.5223,1,0,7,7,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,tim,2,001,male,2022-09-21_09h31.38.921,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5751,,,,,,,,0.5751,1,0,8,8,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,tim,2,001,male,2022-09-21_09h31.38.921,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6499,,,,,,,,0.6499,1,0,9,9,0,1,stimuli/black_1.jpg,,a,,,,,,,,
