instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.012962963,-0.401851852,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",tlee,2,001,male,2020-11-12_16h25.18.165,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.012962963,-0.4,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",tlee,2,001,male,2020-11-12_16h25.18.165,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tlee,2,001,male,2020-11-12_16h25.18.165,openIAT,2020.1.0rc3,Win32,60,a,1,1.767675,,,,,,,,1.767675,1,0,0,0,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,tlee,2,001,male,2020-11-12_16h25.18.165,openIAT,2020.1.0rc3,Win32,60,a,1,0.99414,,,,,,,,0.99414,1,0,1,1,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,tlee,2,001,male,2020-11-12_16h25.18.165,openIAT,2020.1.0rc3,Win32,60,l,1,0.900845,,,,,,,,0.900845,1,0,2,2,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,tlee,2,001,male,2020-11-12_16h25.18.165,openIAT,2020.1.0rc3,Win32,60,a,1,1.0691,,,,,,,,1.0691,1,0,3,3,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,tlee,2,001,male,2020-11-12_16h25.18.165,openIAT,2020.1.0rc3,Win32,60,l,1,1.64746,,,,,,,,1.64746,1,0,4,4,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,tlee,2,001,male,2020-11-12_16h25.18.165,openIAT,2020.1.0rc3,Win32,60,l,1,0.778365,,,,,,,,0.778365,1,0,5,5,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,tlee,2,001,male,2020-11-12_16h25.18.165,openIAT,2020.1.0rc3,Win32,60,l,1,1.051205,,,,,,,,1.051205,1,0,6,6,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,tlee,2,001,male,2020-11-12_16h25.18.165,openIAT,2020.1.0rc3,Win32,60,a,1,0.6972,,,,,,,,0.6972,1,0,7,7,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,tlee,2,001,male,2020-11-12_16h25.18.165,openIAT,2020.1.0rc3,Win32,60,l,1,1.230275,,,,,,,,1.230275,1,0,8,8,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,tlee,2,001,male,2020-11-12_16h25.18.165,openIAT,2020.1.0rc3,Win32,60,a,1,0.75597,,,,,,,,0.75597,1,0,9,9,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,tlee,2,001,male,2020-11-12_16h25.18.165,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,tlee,2,001,male,2020-11-12_16h25.18.165,openIAT,2020.1.0rc3,Win32,60,l,1,1.83104,,,,,,,,1.83104,1,0,0,0,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,tlee,2,001,male,2020-11-12_16h25.18.165,openIAT,2020.1.0rc3,Win32,60,a,1,0.948435,,,,,,,,0.948435,1,0,1,1,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,tlee,2,001,male,2020-11-12_16h25.18.165,openIAT,2020.1.0rc3,Win32,60,a,1,0.710245,,,,,,,,0.710245,1,0,2,2,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,tlee,2,001,male,2020-11-12_16h25.18.165,openIAT,2020.1.0rc3,Win32,60,l,1,0.8354,,,,,,,,0.8354,1,0,3,3,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,tlee,2,001,male,2020-11-12_16h25.18.165,openIAT,2020.1.0rc3,Win32,60,a,1,0.665145,,,,,,,,0.665145,1,0,4,4,6,1,stimuli/black_4.jpg,,a,,,,,,,,
