instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.014446275,-0.401951362,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",trial,2,001,female,2022-05-30_12h25.19.372,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.042609049,-0.378252699,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",trial,2,001,female,2022-05-30_12h25.19.372,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,trial,2,001,female,2022-05-30_12h25.19.372,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.0128,,,,,,,,1.0128,1,0,0,0,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,trial,2,001,female,2022-05-30_12h25.19.372,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6346,,,,,,,,0.6346,1,0,1,1,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,trial,2,001,female,2022-05-30_12h25.19.372,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.4822,,,,,,,,0.4822,1,0,2,2,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,trial,2,001,female,2022-05-30_12h25.19.372,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5478,,,,,,,,0.5478,1,0,3,3,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,trial,2,001,female,2022-05-30_12h25.19.372,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5826,,,,,,,,0.5826,1,0,4,4,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,trial,2,001,female,2022-05-30_12h25.19.372,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5492,,,,,,,,0.5492,1,0,5,5,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,trial,2,001,female,2022-05-30_12h25.19.372,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.564,,,,,,,,0.564,1,0,6,6,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,trial,2,001,female,2022-05-30_12h25.19.372,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6149,,,,,,,,0.6149,1,0,7,7,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,trial,2,001,female,2022-05-30_12h25.19.372,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5797,,,,,,,,0.5797,1,0,8,8,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,trial,2,001,female,2022-05-30_12h25.19.372,openIAT,2020.1.0rc3,MacIntel,60,l,0,0.4288,,,,,,,,0.4288,0,0,9,9,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,trial,2,001,female,2022-05-30_12h25.19.372,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,trial,2,001,female,2022-05-30_12h25.19.372,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.9323,,,,,,,,0.9323,1,0,0,0,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,trial,2,001,female,2022-05-30_12h25.19.372,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.1295,,,,,,,,1.1295,1,0,1,1,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,trial,2,001,female,2022-05-30_12h25.19.372,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.6252,,,,,,,,1.6252,1,0,2,2,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,trial,2,001,female,2022-05-30_12h25.19.372,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.4663,,,,,,,,0.4663,1,0,3,3,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,trial,2,001,female,2022-05-30_12h25.19.372,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.4335,,,,,,,,0.4335,0,0,4,4,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,trial,2,001,female,2022-05-30_12h25.19.372,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.3316,,,,,,,,1.3316,1,0,5,5,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,trial,2,001,female,2022-05-30_12h25.19.372,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6331,,,,,,,,0.6331,1,0,6,6,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,trial,2,001,female,2022-05-30_12h25.19.372,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7317,,,,,,,,0.7317,1,0,7,7,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,trial,2,001,female,2022-05-30_12h25.19.372,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6157,,,,,,,,0.6157,1,0,8,8,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,trial,2,001,female,2022-05-30_12h25.19.372,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.7002,,,,,,,,0.7002,1,0,9,9,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,trial,2,001,female,2022-05-30_12h25.19.372,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,,trial,2,001,female,2022-05-30_12h25.19.372,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.8799,,,,,,,,0.8799,0,0,0,0,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,trial,2,001,female,2022-05-30_12h25.19.372,openIAT,2020.1.0rc3,MacIntel,60,a,1,3.8622,,,,,,,,3.8622,1,0,1,1,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,trial,2,001,female,2022-05-30_12h25.19.372,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.0471,,,,,,,,1.0471,1,0,2,2,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,trial,2,001,female,2022-05-30_12h25.19.372,openIAT,2020.1.0rc3,MacIntel,60,a,1,2.6649,,,,,,,,2.6649,1,0,3,3,8,1,stimuli/black_5.jpg,,a,,,,,,,,
