instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.02728513,-0.412687585,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.045020464,-0.397680764,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,0,-0.383356071,-0.334924966,1,0,0,1.614,button_left,1.614,1,0,0,0,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,0,-0.377899045,-0.334924966,1,0,0,0.582,button_left,0.582,1,0,1,1,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,0,0.447476126,-0.303547067,1,0,0,9.269,button_right,9.269,1,0,2,2,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,0,0.31787176,-0.328103683,1,0,0,7.282,button_right,7.282,0,0,3,3,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,0,-0.410641201,-0.309004093,1,0,0,7.766,button_left,7.766,0,0,4,4,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,0,-0.403819918,-0.30218281,1,0,0,3.827,button_left,3.827,0,0,5,5,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,0,-0.403819918,-0.30218281,1,0,0,0.582,button_left,0.582,0,0,6,6,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,0,0.242837653,-0.295361528,1,0,0,8.248,button_right,8.248,0,0,7,7,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,0,0.512037037,0.267592593,1,0,0,4.199,button_right,4.199,0,0,8,8,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,0,0.34673913,-0.295652174,1,0,0,0.799,button_right,0.799,1,0,9,9,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,0,0.283695652,-0.254347826,1,0,0,3.117,button_right,3.117,0,0,0,0,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,0,-0.305434783,-0.297826087,1,0,0,1.349,button_left,1.349,0,0,1,1,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,0,-0.342391304,-0.293478261,1,0,0,0.652,button_left,0.652,1,0,2,2,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,0,-0.268478261,-0.273913043,1,0,0,1.5,button_left,1.5,1,0,3,3,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,0,-0.268478261,-0.273913043,1,0,0,0.932,button_left,0.932,1,0,4,4,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,0,-0.268478261,-0.273913043,1,0,0,0.75,button_left,0.75,0,0,5,5,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,0,0.323913043,-0.297826087,1,0,0,1.416,button_right,1.416,1,0,6,6,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,0,0.310869565,-0.294565217,1,0,0,1.248,button_right,1.248,0,0,7,7,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,0,0.348913043,-0.282608696,1,0,0,1.465,button_right,1.465,1,0,8,8,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,0,0.367391304,-0.301086957,1,0,0,1.048,button_right,1.048,1,0,9,9,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,0,0.366304348,-0.222826087,1,0,0,1.683,button_right,1.683,1,0,0,0,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,0,0.326086957,-0.294565217,1,0,0,5.282,button_right,5.282,1,0,1,1,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,0,0.326086957,-0.294565217,1,0,0,5.466,button_right,5.466,0,0,2,2,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,0,0.326086957,-0.294565217,1,0,0,0.833,button_right,0.833,1,0,3,3,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,0,0.323913043,-0.283695652,1,0,0,4.249,button_right,4.249,0,0,4,4,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,0,-0.291304348,-0.259782609,1,0,0,0.532,button_left,0.532,1,0,5,5,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,0,-0.288043478,-0.257608696,1,0,0,1.066,button_left,1.066,0,0,6,6,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,0,-0.289130435,-0.267391304,1,0,0,2.316,button_left,2.316,1,0,7,7,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,0,-0.289130435,-0.267391304,1,0,0,0.568,button_left,0.568,1,0,8,8,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,0,-0.357608696,-0.323913043,1,0,0,4.117,button_left,4.117,0,0,9,9,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,tyui,1,001,male,2022-10-21_06h44.29.023,openIAT,2020.1.0rc3,Linux x86_64,60,,0,0.252173913,-0.305434783,1,0,0,1.633,button_right,1.633,0,0,10,10,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
