instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.026388889,-0.400694444,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",uiu,2,001,male,2020-07-24_07h46.46.889,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.026388889,-0.400694444,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",uiu,2,001,male,2020-07-24_07h46.46.889,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,uiu,2,001,male,2020-07-24_07h46.46.889,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,1.754,,,,,,,,1.754,1,0,0,0,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,uiu,2,001,male,2020-07-24_07h46.46.889,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,1.332,,,,,,,,1.332,1,0,1,1,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,uiu,2,001,male,2020-07-24_07h46.46.889,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.779,,,,,,,,0.779,1,0,2,2,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,uiu,2,001,male,2020-07-24_07h46.46.889,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.35,,,,,,,,0.35,1,0,3,3,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,uiu,2,001,male,2020-07-24_07h46.46.889,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.741,,,,,,,,0.741,1,0,4,4,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,uiu,2,001,male,2020-07-24_07h46.46.889,openIAT,2020.1.0rc3,Linux x86_64,60,l,0,0.599,,,,,,,,0.599,0,0,5,5,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,uiu,2,001,male,2020-07-24_07h46.46.889,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.696,,,,,,,,0.696,1,0,6,6,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,uiu,2,001,male,2020-07-24_07h46.46.889,openIAT,2020.1.0rc3,Linux x86_64,60,l,0,0.562,,,,,,,,0.562,0,0,7,7,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,uiu,2,001,male,2020-07-24_07h46.46.889,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.761,,,,,,,,0.761,1,0,8,8,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,uiu,2,001,male,2020-07-24_07h46.46.889,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.613,,,,,,,,0.613,1,0,9,9,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,uiu,2,001,male,2020-07-24_07h46.46.889,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
