instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.038888889,-0.393518519,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",uyg,1,001,male,2021-04-12_20h36.56.182,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.038888889,-0.393518519,0,0,0,,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",uyg,1,001,male,2021-04-12_20h36.56.182,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,uyg,1,001,male,2021-04-12_20h36.56.182,openIAT,2020.1.0rc3,Win32,60,l,1,1.666995,,,,,,,,1.666995,1,0,0,0,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,uyg,1,001,male,2021-04-12_20h36.56.182,openIAT,2020.1.0rc3,Win32,60,l,1,1.695979999,,,,,,,,1.695979999,1,0,1,1,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,uyg,1,001,male,2021-04-12_20h36.56.182,openIAT,2020.1.0rc3,Win32,60,a,1,1.3962,,,,,,,,1.3962,1,0,2,2,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,uyg,1,001,male,2021-04-12_20h36.56.182,openIAT,2020.1.0rc3,Win32,60,a,1,0.953214999,,,,,,,,0.953214999,1,0,3,3,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,uyg,1,001,male,2021-04-12_20h36.56.182,openIAT,2020.1.0rc3,Win32,60,l,1,1.284975,,,,,,,,1.284975,1,0,4,4,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,uyg,1,001,male,2021-04-12_20h36.56.182,openIAT,2020.1.0rc3,Win32,60,l,1,1.05798,,,,,,,,1.05798,1,0,5,5,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,uyg,1,001,male,2021-04-12_20h36.56.182,openIAT,2020.1.0rc3,Win32,60,a,1,0.879555,,,,,,,,0.879555,1,0,6,6,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,uyg,1,001,male,2021-04-12_20h36.56.182,openIAT,2020.1.0rc3,Win32,60,a,1,1.10207,,,,,,,,1.10207,1,0,7,7,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,uyg,1,001,male,2021-04-12_20h36.56.182,openIAT,2020.1.0rc3,Win32,60,a,1,1.002855,,,,,,,,1.002855,1,0,8,8,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,uyg,1,001,male,2021-04-12_20h36.56.182,openIAT,2020.1.0rc3,Win32,60,l,1,0.851015001,,,,,,,,0.851015001,1,0,9,9,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,uyg,1,001,male,2021-04-12_20h36.56.182,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,uyg,1,001,male,2021-04-12_20h36.56.182,openIAT,2020.1.0rc3,Win32,60,l,1,4.999845,,,,,,,,4.999845,1,0,0,0,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,uyg,1,001,male,2021-04-12_20h36.56.182,openIAT,2020.1.0rc3,Win32,60,l,1,1.232475,,,,,,,,1.232475,1,0,1,1,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,uyg,1,001,male,2021-04-12_20h36.56.182,openIAT,2020.1.0rc3,Win32,60,l,1,2.033085,,,,,,,,2.033085,1,0,2,2,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,uyg,1,001,male,2021-04-12_20h36.56.182,openIAT,2020.1.0rc3,Win32,60,l,1,0.903585,,,,,,,,0.903585,1,0,3,3,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,uyg,1,001,male,2021-04-12_20h36.56.182,openIAT,2020.1.0rc3,Win32,60,l,0,0.867865,,,,,,,,0.867865,0,0,4,4,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
