instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.018518506,-0.382407421,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",vdcvcv,1,001,male,2022-01-08_15h15.20.917,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.099074089,-0.407407421,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",vdcvcv,1,001,male,2022-01-08_15h15.20.917,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,vdcvcv,1,001,male,2022-01-08_15h15.20.917,openIAT,2020.1.0rc3,Win32,60,a,1,3.8878,,,,,,,,3.8878,1,0,0,0,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,vdcvcv,1,001,male,2022-01-08_15h15.20.917,openIAT,2020.1.0rc3,Win32,60,,0,,0.300000131,-0.254629641,1,0,0,2.0972,button_right,2.0972,1,0,1,1,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,vdcvcv,1,001,male,2022-01-08_15h15.20.917,openIAT,2020.1.0rc3,Win32,60,,0,,0.300000131,-0.250925937,1,0,0,3.7137,button_right,3.7137,1,0,2,2,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,vdcvcv,1,001,male,2022-01-08_15h15.20.917,openIAT,2020.1.0rc3,Win32,60,,0,,0.300000131,-0.250925937,1,0,0,1.0985,button_right,1.0985,0,0,3,3,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,vdcvcv,1,001,male,2022-01-08_15h15.20.917,openIAT,2020.1.0rc3,Win32,60,,0,,0.300000131,-0.250925937,1,0,0,0.9818,button_right,0.9818,0,0,4,4,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,vdcvcv,1,001,male,2022-01-08_15h15.20.917,openIAT,2020.1.0rc3,Win32,60,,0,,-0.143518507,-0.25185192,1,0,0,0.9652,button_left,0.9652,0,0,5,5,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,vdcvcv,1,001,male,2022-01-08_15h15.20.917,openIAT,2020.1.0rc3,Win32,60,,0,,0.382407426,-0.270370438,1,0,0,0.3456,button_right,0.3456,0,0,6,6,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,vdcvcv,1,001,male,2022-01-08_15h15.20.917,openIAT,2020.1.0rc3,Win32,60,,0,,0.26296298,-0.23796303,1,0,0,1.5149,button_right,1.5149,0,0,7,7,8,1,stimuli/blank.png,Joy,a,,,,,,,,
