instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.0625,-0.40625,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",victor,1,001,male,2021-10-04_15h58.56.482,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0625,-0.40625,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",victor,1,001,male,2021-10-04_15h58.56.482,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,victor,1,001,male,2021-10-04_15h58.56.482,openIAT,2020.1.0rc3,Win32,60,a,1,1.2125,,,,,,,,1.2125,1,0,0,0,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,victor,1,001,male,2021-10-04_15h58.56.482,openIAT,2020.1.0rc3,Win32,60,a,0,1.4769,,,,,,,,1.4769,0,0,1,1,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,victor,1,001,male,2021-10-04_15h58.56.482,openIAT,2020.1.0rc3,Win32,60,a,0,1.1122,,,,,,,,1.1122,0,0,2,2,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,victor,1,001,male,2021-10-04_15h58.56.482,openIAT,2020.1.0rc3,Win32,60,a,1,5.3078,,,,,,,,5.3078,1,0,3,3,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,victor,1,001,male,2021-10-04_15h58.56.482,openIAT,2020.1.0rc3,Win32,60,l,1,1.5149,,,,,,,,1.5149,1,0,4,4,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,victor,1,001,male,2021-10-04_15h58.56.482,openIAT,2020.1.0rc3,Win32,60,a,1,0.7933,,,,,,,,0.7933,1,0,5,5,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,victor,1,001,male,2021-10-04_15h58.56.482,openIAT,2020.1.0rc3,Win32,60,l,1,0.7196,,,,,,,,0.7196,1,0,6,6,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,victor,1,001,male,2021-10-04_15h58.56.482,openIAT,2020.1.0rc3,Win32,60,a,1,0.4067,,,,,,,,0.4067,1,0,7,7,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,victor,1,001,male,2021-10-04_15h58.56.482,openIAT,2020.1.0rc3,Win32,60,l,0,0.3737,,,,,,,,0.3737,0,0,8,8,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,victor,1,001,male,2021-10-04_15h58.56.482,openIAT,2020.1.0rc3,Win32,60,,0,,-0.3078203,-0.230449251,1,0,0,536.5553,button_left,536.5553,0,0,9,9,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,victor,1,001,male,2021-10-04_15h58.56.482,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,victor,1,001,male,2021-10-04_15h58.56.482,openIAT,2020.1.0rc3,Win32,60,,0,,-0.364392679,-0.31031614,1,0,0,1.0841,button_left,1.0841,0,0,0,0,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,victor,1,001,male,2021-10-04_15h58.56.482,openIAT,2020.1.0rc3,Win32,60,,0,,0.211314476,-0.283693844,1,0,0,1.076,button_right,1.076,1,0,1,1,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,victor,1,001,male,2021-10-04_15h58.56.482,openIAT,2020.1.0rc3,Win32,60,,0,,-0.277870216,-0.287021631,1,0,0,0.9238,button_left,0.9238,0,0,2,2,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,victor,1,001,male,2021-10-04_15h58.56.482,openIAT,2020.1.0rc3,Win32,60,,0,,0.554076539,-0.308652246,1,0,0,2.0091,button_right,2.0091,1,0,3,3,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,victor,1,001,male,2021-10-04_15h58.56.482,openIAT,2020.1.0rc3,Win32,60,,0,,-0.475873544,-0.27703827,1,0,0,1.0745,button_left,1.0745,1,0,4,4,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
