instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.065740727,-0.390740783,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.103703746,-0.421296296,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,a,1,1.3071,,,,,,,,1.3071,1,0,0,0,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,a,1,0.9252,,,,,,,,0.9252,1,0,1,1,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,l,1,1.7367,,,,,,,,1.7367,1,0,2,2,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,l,1,1.4189,,,,,,,,1.4189,1,0,3,3,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,l,1,1.4377,,,,,,,,1.4377,1,0,4,4,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,a,1,0.5718,,,,,,,,0.5718,1,0,5,5,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,l,1,0.941,,,,,,,,0.941,1,0,6,6,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,a,1,0.5732,,,,,,,,0.5732,1,0,7,7,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,a,1,0.6152,,,,,,,,0.6152,1,0,8,8,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,a,0,1.1002,,,,,,,,1.1002,0,0,9,9,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,a,1,1.2278,,,,,,,,1.2278,1,0,0,0,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,a,1,1.3241,,,,,,,,1.3241,1,0,1,1,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,a,0,1.0291,,,,,,,,1.0291,0,0,2,2,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,a,1,1.5815,,,,,,,,1.5815,1,0,3,3,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,a,1,1.0394,,,,,,,,1.0394,1,0,4,4,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,a,0,0.8404,,,,,,,,0.8404,0,0,5,5,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,l,1,1.0894,,,,,,,,1.0894,1,0,6,6,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,l,1,1.0955,,,,,,,,1.0955,1,0,7,7,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,l,0,1.4176,,,,,,,,1.4176,0,0,8,8,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,l,1,0.8829,,,,,,,,0.8829,1,0,9,9,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,a,1,1.3507,,,,,,,,1.3507,1,0,0,0,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,a,1,0.7042,,,,,,,,0.7042,1,0,1,1,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,a,1,0.5708,,,,,,,,0.5708,1,0,2,2,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,l,1,0.8932,,,,,,,,0.8932,1,0,3,3,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,l,1,4.626,,,,,,,,4.626,1,0,4,4,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,l,1,0.7219,,,,,,,,0.7219,1,0,5,5,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,a,1,0.5691,,,,,,,,0.5691,1,0,6,6,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,l,1,1.6022,,,,,,,,1.6022,1,0,7,7,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,a,0,8.8126,-0.755702922,-0.117771908,1,0,0,7.6096,,8.8126,0,0,8,8,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,a,0,0.9178,,,,,,,,0.9178,0,0,9,9,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,l,0,0.4189,,,,,,,,0.4189,0,0,10,10,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,wanghuailin,2,001,male,2023-05-10_13h51.40.232,openIAT,2020.1.0rc3,Win32,60,l,0,0.6846,,,,,,,,0.6846,0,0,11,11,6,1,stimuli/black_4.jpg,,a,,,,,,,,
