instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.110185185,-0.415740741,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",wu,2,001,male,2023-09-23_19h29.04.848,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.011111111,-0.386111111,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",wu,2,001,male,2023-09-23_19h29.04.848,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,wu,2,001,male,2023-09-23_19h29.04.848,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.842,,,,,,,,0.842,1,0,0,0,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,wu,2,001,male,2023-09-23_19h29.04.848,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.756,,,,,,,,0.756,1,0,1,1,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,wu,2,001,male,2023-09-23_19h29.04.848,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.44,,,,,,,,1.44,1,0,2,2,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,wu,2,001,male,2023-09-23_19h29.04.848,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.937,,,,,,,,0.937,1,0,3,3,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,wu,2,001,male,2023-09-23_19h29.04.848,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.911,,,,,,,,0.911,1,0,4,4,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,wu,2,001,male,2023-09-23_19h29.04.848,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.631,,,,,,,,0.631,1,0,5,5,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,wu,2,001,male,2023-09-23_19h29.04.848,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.871,,,,,,,,0.871,1,0,6,6,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,wu,2,001,male,2023-09-23_19h29.04.848,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.918,,,,,,,,0.918,1,0,7,7,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,wu,2,001,male,2023-09-23_19h29.04.848,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.631,,,,,,,,0.631,1,0,8,8,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,wu,2,001,male,2023-09-23_19h29.04.848,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.693,,,,,,,,0.693,1,0,9,9,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,wu,2,001,male,2023-09-23_19h29.04.848,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,wu,2,001,male,2023-09-23_19h29.04.848,openIAT,2020.1.0rc3,MacIntel,60,a,1,2.457,,,,,,,,2.457,1,0,0,0,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,wu,2,001,male,2023-09-23_19h29.04.848,openIAT,2020.1.0rc3,MacIntel,60,a,1,2.553,,,,,,,,2.553,1,0,1,1,4,1,stimuli/black_3.jpg,,a,,,,,,,,
