instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.049999979,-0.418055583,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",xuduhong,2,001,male,2021-09-30_14h43.17.433,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.047916646,-0.418750027,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",xuduhong,2,001,male,2021-09-30_14h43.17.433,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,xuduhong,2,001,male,2021-09-30_14h43.17.433,openIAT,2020.1.0rc3,Win32,60,a,0,1.139,,,,,,,,1.139,0,0,0,0,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,xuduhong,2,001,male,2021-09-30_14h43.17.433,openIAT,2020.1.0rc3,Win32,60,l,1,1.9342,,,,,,,,1.9342,1,0,1,1,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,xuduhong,2,001,male,2021-09-30_14h43.17.433,openIAT,2020.1.0rc3,Win32,60,a,1,0.8951,,,,,,,,0.8951,1,0,2,2,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,xuduhong,2,001,male,2021-09-30_14h43.17.433,openIAT,2020.1.0rc3,Win32,60,l,1,0.8995,,,,,,,,0.8995,1,0,3,3,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,xuduhong,2,001,male,2021-09-30_14h43.17.433,openIAT,2020.1.0rc3,Win32,60,a,1,0.8884,,,,,,,,0.8884,1,0,4,4,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,xuduhong,2,001,male,2021-09-30_14h43.17.433,openIAT,2020.1.0rc3,Win32,60,l,1,1.0889,,,,,,,,1.0889,1,0,5,5,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,xuduhong,2,001,male,2021-09-30_14h43.17.433,openIAT,2020.1.0rc3,Win32,60,a,1,0.7104,,,,,,,,0.7104,1,0,6,6,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,xuduhong,2,001,male,2021-09-30_14h43.17.433,openIAT,2020.1.0rc3,Win32,60,l,1,1.0106,,,,,,,,1.0106,1,0,7,7,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,xuduhong,2,001,male,2021-09-30_14h43.17.433,openIAT,2020.1.0rc3,Win32,60,a,1,0.8659,,,,,,,,0.8659,1,0,8,8,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,xuduhong,2,001,male,2021-09-30_14h43.17.433,openIAT,2020.1.0rc3,Win32,60,a,1,0.7933,,,,,,,,0.7933,1,0,9,9,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,xuduhong,2,001,male,2021-09-30_14h43.17.433,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,xuduhong,2,001,male,2021-09-30_14h43.17.433,openIAT,2020.1.0rc3,Win32,60,a,0,1.35,,,,,,,,1.35,0,0,0,0,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,,xuduhong,2,001,male,2021-09-30_14h43.17.433,openIAT,2020.1.0rc3,Win32,60,a,1,1.8885,,,,,,,,1.8885,1,0,1,1,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,,xuduhong,2,001,male,2021-09-30_14h43.17.433,openIAT,2020.1.0rc3,Win32,60,a,1,0.9177,,,,,,,,0.9177,1,0,2,2,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,,xuduhong,2,001,male,2021-09-30_14h43.17.433,openIAT,2020.1.0rc3,Win32,60,l,1,0.8346,,,,,,,,0.8346,1,0,3,3,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,,xuduhong,2,001,male,2021-09-30_14h43.17.433,openIAT,2020.1.0rc3,Win32,60,a,1,0.8514,,,,,,,,0.8514,1,0,4,4,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,xuduhong,2,001,male,2021-09-30_14h43.17.433,openIAT,2020.1.0rc3,Win32,60,a,1,0.9014,,,,,,,,0.9014,1,0,5,5,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,,xuduhong,2,001,male,2021-09-30_14h43.17.433,openIAT,2020.1.0rc3,Win32,60,a,0,1.6873,,,,,,,,1.6873,0,0,6,6,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,xuduhong,2,001,male,2021-09-30_14h43.17.433,openIAT,2020.1.0rc3,Win32,60,a,1,0.7012,,,,,,,,0.7012,1,0,7,7,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,xuduhong,2,001,male,2021-09-30_14h43.17.433,openIAT,2020.1.0rc3,Win32,60,l,1,0.7537,,,,,,,,0.7537,1,0,8,8,1,1,stimuli/white_1.jpg,,l,,,,,,,,
