instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.017299752,-0.370196723,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",xxxx,1,001,male,2024-06-14_14h59.04.121,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.047884848,-0.401013213,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",xxxx,1,001,male,2024-06-14_14h59.04.121,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,xxxx,1,001,male,2024-06-14_14h59.04.121,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,1.039,,,,,,,,1.039,1,0,0,0,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,xxxx,1,001,male,2024-06-14_14h59.04.121,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.644,,,,,,,,0.644,1,0,1,1,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,xxxx,1,001,male,2024-06-14_14h59.04.121,openIAT,2020.1.0rc3,Linux x86_64,60,a,0,1.7708,,,,,,,,1.7708,0,0,2,2,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,xxxx,1,001,male,2024-06-14_14h59.04.121,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.1863,,,,,,,,0.1863,1,0,3,3,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,xxxx,1,001,male,2024-06-14_14h59.04.121,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.6449,,,,,,,,0.6449,1,0,4,4,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,xxxx,1,001,male,2024-06-14_14h59.04.121,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,0.8072,,,,,,,,0.8072,1,0,5,5,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,xxxx,1,001,male,2024-06-14_14h59.04.121,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.9311,,,,,,,,0.9311,1,0,6,6,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,xxxx,1,001,male,2024-06-14_14h59.04.121,openIAT,2020.1.0rc3,Linux x86_64,60,l,0,0.8725,,,,,,,,0.8725,0,0,7,7,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,xxxx,1,001,male,2024-06-14_14h59.04.121,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,0.7198,,,,,,,,0.7198,1,0,8,8,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,xxxx,1,001,male,2024-06-14_14h59.04.121,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,2.0544,,,,,,,,2.0544,1,0,9,9,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,xxxx,1,001,male,2024-06-14_14h59.04.121,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,xxxx,1,001,male,2024-06-14_14h59.04.121,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,2.0082,,,,,,,,2.0082,1,0,0,0,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,xxxx,1,001,male,2024-06-14_14h59.04.121,openIAT,2020.1.0rc3,Linux x86_64,60,l,0,0.3304,,,,,,,,0.3304,0,0,1,1,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
