instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.030864198,-0.398765432,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",yamila,1,001,female,2023-03-06_15h25.46.717,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.024691358,-0.4,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",yamila,1,001,female,2023-03-06_15h25.46.717,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,yamila,1,001,female,2023-03-06_15h25.46.717,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,4.1249,,,,,,,,4.1249,1,0,0,0,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,yamila,1,001,female,2023-03-06_15h25.46.717,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,3.5462,,,,,,,,3.5462,1,0,1,1,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,yamila,1,001,female,2023-03-06_15h25.46.717,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,2.4975,,,,,,,,2.4975,1,0,2,2,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,yamila,1,001,female,2023-03-06_15h25.46.717,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,2.1967,,,,,,,,2.1967,1,0,3,3,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,yamila,1,001,female,2023-03-06_15h25.46.717,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,38.7006,,,,,,,,38.7006,1,0,4,4,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,yamila,1,001,female,2023-03-06_15h25.46.717,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,2.2291,,,,,,,,2.2291,1,0,5,5,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,yamila,1,001,female,2023-03-06_15h25.46.717,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,1.6479,,,,,,,,1.6479,1,0,6,6,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,yamila,1,001,female,2023-03-06_15h25.46.717,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,1.3476,,,,,,,,1.3476,1,0,7,7,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,yamila,1,001,female,2023-03-06_15h25.46.717,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,12.7219,,,,,,,,12.7219,1,0,8,8,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,yamila,1,001,female,2023-03-06_15h25.46.717,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,2.1642,,,,,,,,2.1642,1,0,9,9,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,yamila,1,001,female,2023-03-06_15h25.46.717,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,yamila,1,001,female,2023-03-06_15h25.46.717,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,4.9773,,,,,,,,4.9773,1,0,0,0,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,yamila,1,001,female,2023-03-06_15h25.46.717,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,7.5956,,,,,,,,7.5956,1,0,1,1,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,yamila,1,001,female,2023-03-06_15h25.46.717,openIAT,2020.1.0rc3,Linux x86_64,60,l,1,6.5779,,,,,,,,6.5779,1,0,2,2,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,,yamila,1,001,female,2023-03-06_15h25.46.717,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,1.5309,,,,,,,,1.5309,1,0,3,3,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,,yamila,1,001,female,2023-03-06_15h25.46.717,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,1.647,,,,,,,,1.647,1,0,4,4,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
