instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.124206543,-0.397059123,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",zaid,2,001,male,2020-10-19_09h14.25.858,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.124206543,-0.397059123,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",zaid,2,001,male,2020-10-19_09h14.25.858,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,zaid,2,001,male,2020-10-19_09h14.25.858,openIAT,2020.1.0rc3,MacIntel,60,a,1,2.247905,,,,,,,,2.247905,1,0,0,0,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,zaid,2,001,male,2020-10-19_09h14.25.858,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.927425,,,,,,,,1.927425,1,0,1,1,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,zaid,2,001,male,2020-10-19_09h14.25.858,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.909805,,,,,,,,1.909805,1,0,2,2,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,zaid,2,001,male,2020-10-19_09h14.25.858,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.800265,,,,,,,,1.800265,1,0,3,3,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,zaid,2,001,male,2020-10-19_09h14.25.858,openIAT,2020.1.0rc3,MacIntel,60,l,0,0.826055,,,,,,,,0.826055,0,0,4,4,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,zaid,2,001,male,2020-10-19_09h14.25.858,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.81311,,,,,,,,0.81311,1,0,5,5,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,zaid,2,001,male,2020-10-19_09h14.25.858,openIAT,2020.1.0rc3,MacIntel,60,a,0,1.26857,,,,,,,,1.26857,0,0,6,6,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,zaid,2,001,male,2020-10-19_09h14.25.858,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.001175,,,,,,,,1.001175,1,0,7,7,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,zaid,2,001,male,2020-10-19_09h14.25.858,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.210165,,,,,,,,1.210165,1,0,8,8,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,zaid,2,001,male,2020-10-19_09h14.25.858,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.574015,,,,,,,,1.574015,1,0,9,9,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,zaid,2,001,male,2020-10-19_09h14.25.858,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,,zaid,2,001,male,2020-10-19_09h14.25.858,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.2661,,,,,,,,1.2661,1,0,0,0,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,,zaid,2,001,male,2020-10-19_09h14.25.858,openIAT,2020.1.0rc3,MacIntel,60,l,1,14.0014,,,,,,,,14.0014,1,0,1,1,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,,zaid,2,001,male,2020-10-19_09h14.25.858,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.923275,,,,,,,,0.923275,1,0,2,2,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,,zaid,2,001,male,2020-10-19_09h14.25.858,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.127,,,,,,,,1.127,1,0,3,3,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,,zaid,2,001,male,2020-10-19_09h14.25.858,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.725815,,,,,,,,0.725815,1,0,4,4,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,,zaid,2,001,male,2020-10-19_09h14.25.858,openIAT,2020.1.0rc3,MacIntel,60,l,1,2.18105,,,,,,,,2.18105,1,0,5,5,3,1,stimuli/white_2.jpg,,l,,,,,,,,
