instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.109105457,-0.272132685,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.109105457,-0.272132685,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,l,1,2.2059,,,,,,,,2.2059,1,0,0,0,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.2211,,,,,,,,1.2211,1,0,1,1,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.5735,,,,,,,,1.5735,1,0,2,2,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5109,,,,,,,,0.5109,1,0,3,3,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6726,,,,,,,,0.6726,1,0,4,4,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7408,,,,,,,,0.7408,1,0,5,5,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.508,,,,,,,,0.508,1,0,6,6,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6207,,,,,,,,0.6207,1,0,7,7,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5279,,,,,,,,0.5279,1,0,8,8,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5896,,,,,,,,0.5896,1,0,9,9,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,a,0,2.4907,,,,,,,,2.4907,0,0,0,0,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.781,,,,,,,,0.781,1,0,1,1,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.9243,,,,,,,,0.9243,1,0,2,2,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6077,,,,,,,,0.6077,1,0,3,3,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.8069,,,,,,,,0.8069,1,0,4,4,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7537,,,,,,,,0.7537,1,0,5,5,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.6399,,,,,,,,0.6399,1,0,6,6,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5411,,,,,,,,0.5411,1,0,7,7,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5751,,,,,,,,0.5751,1,0,8,8,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,l,0,0.4595,,,,,,,,0.4595,0,0,9,9,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.8207,,,,,,,,1.8207,1,0,0,0,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,l,0,1.2556,,,,,,,,1.2556,0,0,1,1,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.1782,,,,,,,,0.1782,0,0,2,2,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.5876,,,,,,,,1.5876,1,0,3,3,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.0366,,,,,,,,0.0366,1,0,4,4,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,l,0,0.3416,,,,,,,,0.3416,0,0,5,5,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.9237,,,,,,,,0.9237,0,0,6,6,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,a,1,2.3563,,,,,,,,2.3563,1,0,7,7,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.1084,,,,,,,,1.1084,1,0,8,8,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.8823,,,,,,,,0.8823,1,0,9,9,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,l,1,1.1054,,,,,,,,1.1054,1,0,10,10,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,a,0,1.1598,,,,,,,,1.1598,0,0,11,11,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,l,0,0.3905,,,,,,,,0.3905,0,0,12,12,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5469,,,,,,,,0.5469,1,0,13,13,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.5932,,,,,,,,0.5932,1,0,14,14,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7413,,,,,,,,0.7413,1,0,15,15,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,a,0,0.6453,,,,,,,,0.6453,0,0,16,16,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.9221,,,,,,,,0.9221,1,0,17,17,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6053,,,,,,,,0.6053,1,0,18,18,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.7276,,,,,,,,0.7276,1,0,19,19,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,incong_test.xlsx,"A = 
Black or 
Positive","L = 
White or 
Negative"
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,a,1,1.8759,,,,,,,,1.8759,1,0,0,0,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.4947,,,,,,,,0.4947,1,0,1,1,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.974,,,,,,,,0.974,1,0,2,2,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,l,0,0.7451,,,,,,,,0.7451,0,0,3,3,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.8951,,,,,,,,0.8951,1,0,4,4,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.5962,,,,,,,,0.5962,1,0,5,5,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,a,1,0.6737,,,,,,,,0.6737,1,0,6,6,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,DDD,2,001,male,2022-04-26_13h45.42.044,openIAT,2020.1.0rc3,MacIntel,60,l,1,0.4646,,,,,,,,0.4646,1,0,7,7,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
