instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.0625,-0.359722222,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0625,-0.359722222,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,a,0,0.818,,,,,,,,0.818,0,0,0,0,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,l,1,0.967,,,,,,,,0.967,1,0,1,1,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,l,1,0.914,,,,,,,,0.914,1,0,2,2,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,a,1,0.949,,,,,,,,0.949,1,0,3,3,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,a,1,0.96,,,,,,,,0.96,1,0,4,4,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,a,1,1.312,,,,,,,,1.312,1,0,5,5,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,a,1,0.744,,,,,,,,0.744,1,0,6,6,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,l,1,0.962,,,,,,,,0.962,1,0,7,7,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,a,1,0.732,,,,,,,,0.732,1,0,8,8,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,l,1,0.898,,,,,,,,0.898,1,0,9,9,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,l,1,2.926,,,,,,,,2.926,1,0,0,0,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,l,1,0.733,,,,,,,,0.733,1,0,1,1,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,l,1,0.632,,,,,,,,0.632,1,0,2,2,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,l,1,0.731,,,,,,,,0.731,1,0,3,3,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,a,1,0.65,,,,,,,,0.65,1,0,4,4,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,a,0,0.6,,,,,,,,0.6,0,0,5,5,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,l,0,0.156,,,,,,,,0.156,0,0,6,6,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,l,0,1.233,,,,,,,,1.233,0,0,7,7,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,l,0,1.103,,,,,,,,1.103,0,0,8,8,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,a,1,0.682,,,,,,,,0.682,1,0,9,9,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,l,0,0.118,,,,,,,,0.118,0,0,0,0,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,a,1,1.665,,,,,,,,1.665,1,0,1,1,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,a,1,0.615,,,,,,,,0.615,1,0,2,2,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,l,1,0.599,,,,,,,,0.599,1,0,3,3,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,l,1,0.566,,,,,,,,0.566,1,0,4,4,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,a,1,0.563,,,,,,,,0.563,1,0,5,5,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,a,1,0.447,,,,,,,,0.447,1,0,6,6,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,maxl,1,001,male,2021-12-14_18h33.57.458,openIAT,2020.1.0rc3,Win32,60,l,0,0.55,,,,,,,,0.55,0,0,7,7,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
