instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.423611111,0.127083333,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",FH,2,001,female,2021-08-17_11h13.19.690,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.423611111,0.127083333,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",FH,2,001,female,2021-08-17_11h13.19.690,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,FH,2,001,female,2021-08-17_11h13.19.690,openIAT,2020.1.0rc3,Win32,60,a,1,1.004,,,,,,,,1.004,1,0,0,0,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,FH,2,001,female,2021-08-17_11h13.19.690,openIAT,2020.1.0rc3,Win32,60,a,1,0.716,,,,,,,,0.716,1,0,1,1,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,FH,2,001,female,2021-08-17_11h13.19.690,openIAT,2020.1.0rc3,Win32,60,l,1,0.469,,,,,,,,0.469,1,0,2,2,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,FH,2,001,female,2021-08-17_11h13.19.690,openIAT,2020.1.0rc3,Win32,60,a,1,0.718,,,,,,,,0.718,1,0,3,3,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,FH,2,001,female,2021-08-17_11h13.19.690,openIAT,2020.1.0rc3,Win32,60,a,1,0.665,,,,,,,,0.665,1,0,4,4,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,FH,2,001,female,2021-08-17_11h13.19.690,openIAT,2020.1.0rc3,Win32,60,l,1,0.762,,,,,,,,0.762,1,0,5,5,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,FH,2,001,female,2021-08-17_11h13.19.690,openIAT,2020.1.0rc3,Win32,60,l,1,0.799,,,,,,,,0.799,1,0,6,6,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,FH,2,001,female,2021-08-17_11h13.19.690,openIAT,2020.1.0rc3,Win32,60,l,1,0.999,,,,,,,,0.999,1,0,7,7,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,FH,2,001,female,2021-08-17_11h13.19.690,openIAT,2020.1.0rc3,Win32,60,l,1,0.853,,,,,,,,0.853,1,0,8,8,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,FH,2,001,female,2021-08-17_11h13.19.690,openIAT,2020.1.0rc3,Win32,60,a,1,0.577,,,,,,,,0.577,1,0,9,9,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,FH,2,001,female,2021-08-17_11h13.19.690,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,FH,2,001,female,2021-08-17_11h13.19.690,openIAT,2020.1.0rc3,Win32,60,l,1,1.137,,,,,,,,1.137,1,0,0,0,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,FH,2,001,female,2021-08-17_11h13.19.690,openIAT,2020.1.0rc3,Win32,60,l,1,0.72,,,,,,,,0.72,1,0,1,1,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,FH,2,001,female,2021-08-17_11h13.19.690,openIAT,2020.1.0rc3,Win32,60,a,1,0.715,,,,,,,,0.715,1,0,2,2,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,FH,2,001,female,2021-08-17_11h13.19.690,openIAT,2020.1.0rc3,Win32,60,l,1,0.964,,,,,,,,0.964,1,0,3,3,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,FH,2,001,female,2021-08-17_11h13.19.690,openIAT,2020.1.0rc3,Win32,60,a,1,0.733,,,,,,,,0.733,1,0,4,4,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,FH,2,001,female,2021-08-17_11h13.19.690,openIAT,2020.1.0rc3,Win32,60,a,1,0.691,,,,,,,,0.691,1,0,5,5,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,FH,2,001,female,2021-08-17_11h13.19.690,openIAT,2020.1.0rc3,Win32,60,l,1,0.909,,,,,,,,0.909,1,0,6,6,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,FH,2,001,female,2021-08-17_11h13.19.690,openIAT,2020.1.0rc3,Win32,60,l,1,0.648,,,,,,,,0.648,1,0,7,7,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,FH,2,001,female,2021-08-17_11h13.19.690,openIAT,2020.1.0rc3,Win32,60,l,0,1.006,,,,,,,,1.006,0,0,8,8,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,FH,2,001,female,2021-08-17_11h13.19.690,openIAT,2020.1.0rc3,Win32,60,a,1,0.67,,,,,,,,0.67,1,0,9,9,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,FH,2,001,female,2021-08-17_11h13.19.690,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White"
