instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.136574074,-0.15625,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.136574074,-0.15625,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,l,0,4.559,,,,,,,,4.559,0,0,0,0,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,a,0,2.022,,,,,,,,2.022,0,0,1,1,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,a,1,3.272,,,,,,,,3.272,1,0,2,2,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,a,1,0.938,,,,,,,,0.938,1,0,3,3,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,l,1,0.832,,,,,,,,0.832,1,0,4,4,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,a,1,0.604,,,,,,,,0.604,1,0,5,5,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,l,1,0.852,,,,,,,,0.852,1,0,6,6,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,l,1,0.64,,,,,,,,0.64,1,0,7,7,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,l,1,0.605,,,,,,,,0.605,1,0,8,8,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,a,1,0.624,,,,,,,,0.624,1,0,9,9,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,a,1,1.322,,,,,,,,1.322,1,0,0,0,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,a,1,0.589,,,,,,,,0.589,1,0,1,1,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,a,0,0.338,,,,,,,,0.338,0,0,2,2,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,l,1,0.72,,,,,,,,0.72,1,0,3,3,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,l,1,0.856,,,,,,,,0.856,1,0,4,4,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,l,1,0.611,,,,,,,,0.611,1,0,5,5,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,l,1,0.559,,,,,,,,0.559,1,0,6,6,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,a,1,0.603,,,,,,,,0.603,1,0,7,7,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,a,1,0.522,,,,,,,,0.522,1,0,8,8,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,a,1,0.597,,,,,,,,0.597,1,0,9,9,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,incong_train.xlsx,"A = 
Black","L = 
White"
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,l,1,0.838,,,,,,,,0.838,1,0,0,0,9,1,stimuli/white_5.jpg,,l,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,a,1,0.507,,,,,,,,0.507,1,0,1,1,6,1,stimuli/black_4.jpg,,a,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,a,1,0.637,,,,,,,,0.637,1,0,2,2,12,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,a,1,0.572,,,,,,,,0.572,1,0,3,3,8,1,stimuli/black_5.jpg,,a,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,l,1,0.521,,,,,,,,0.521,1,0,4,4,7,1,stimuli/white_4.jpg,,l,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,l,1,0.539,,,,,,,,0.539,1,0,5,5,3,1,stimuli/white_2.jpg,,l,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,l,0,0.454,,,,,,,,0.454,0,0,6,6,2,1,stimuli/black_2.jpg,,a,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,l,1,0.937,,,,,,,,0.937,1,0,7,7,19,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,a,1,0.672,,,,,,,,0.672,1,0,8,8,18,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,a,1,0.803,,,,,,,,0.803,1,0,9,9,0,1,stimuli/black_1.jpg,,a,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,l,1,0.608,,,,,,,,0.608,1,0,10,10,11,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,a,1,0.721,,,,,,,,0.721,1,0,11,11,4,1,stimuli/black_3.jpg,,a,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,l,1,0.455,,,,,,,,0.455,1,0,12,12,1,1,stimuli/white_1.jpg,,l,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,l,1,0.586,,,,,,,,0.586,1,0,13,13,17,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,l,0,0.467,,,,,,,,0.467,0,0,14,14,16,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,a,1,0.619,,,,,,,,0.619,1,0,15,15,10,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,l,1,0.69,,,,,,,,0.69,1,0,16,16,13,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,a,1,0.552,,,,,,,,0.552,1,0,17,17,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,l,1,0.603,,,,,,,,0.603,1,0,18,18,5,1,stimuli/white_3.jpg,,l,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,a,0,0.566,,,,,,,,0.566,0,0,19,19,15,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,incong_test.xlsx,"A = 
Black or 
Positive","L = 
White or 
Negative"
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,l,0,4.297,,,,,,,,4.297,0,0,0,0,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,a,1,0.691,,,,,,,,0.691,1,0,1,1,9,1,stimuli/white_5.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,l,1,0.556,,,,,,,,0.556,1,0,2,2,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,l,1,0.489,,,,,,,,0.489,1,0,3,3,8,1,stimuli/black_5.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,l,0,0.606,,,,,,,,0.606,0,0,4,4,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,l,1,0.72,,,,,,,,0.72,1,0,5,5,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,a,1,0.605,,,,,,,,0.605,1,0,6,6,7,1,stimuli/white_4.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,a,1,0.659,,,,,,,,0.659,1,0,7,7,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,l,1,0.587,,,,,,,,0.587,1,0,8,8,0,1,stimuli/black_1.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,l,1,0.669,,,,,,,,0.669,1,0,9,9,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,cong_train.xlsx,"A = 
White","L = 
Black"
,,,,,,,,,,,,cz,2,001,female,2022-02-24_16h27.47.934,openIAT,2020.1.0rc3,Win32,60,a,1,0.721,,,,,,,,0.721,1,0,0,0,14,1,stimuli/blank.png,Pleasure,a,,,,,,,,
