instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
0.247222222,-0.111111111,0,0,0,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",dsf,2,001,male,2022-07-25_13h40.10.806,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.247222222,-0.111111111,0,0,0,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",dsf,2,001,male,2022-07-25_13h40.10.806,openIAT,2020.1.0rc3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,dsf,2,001,male,2022-07-25_13h40.10.806,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,1.1916,,,,,,,,1.1916,1,0,0,0,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,dsf,2,001,male,2022-07-25_13h40.10.806,openIAT,2020.1.0rc3,Linux x86_64,60,a,0,5.9095,,,,,,,,5.9095,0,0,1,1,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,dsf,2,001,male,2022-07-25_13h40.10.806,openIAT,2020.1.0rc3,Linux x86_64,60,a,1,5.8717,,,,,,,,5.8717,1,0,2,2,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,dsf,2,001,male,2022-07-25_13h40.10.806,openIAT,2020.1.0rc3,Linux x86_64,60,,0,,0.425925926,-0.3,1,0,0,5.5533,button_right,5.5533,1,0,3,3,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,dsf,2,001,male,2022-07-25_13h40.10.806,openIAT,2020.1.0rc3,Linux x86_64,60,,0,,0.364814815,-0.266666667,1,0,0,1.3407,button_right,1.3407,1,0,4,4,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,dsf,2,001,male,2022-07-25_13h40.10.806,openIAT,2020.1.0rc3,Linux x86_64,60,,0,,-0.448148148,-0.25462963,1,0,0,1.6693,button_left,1.6693,1,0,5,5,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,dsf,2,001,male,2022-07-25_13h40.10.806,openIAT,2020.1.0rc3,Linux x86_64,60,,0,,-0.308333333,-0.288888889,1,0,0,1.057,button_left,1.057,1,0,6,6,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,dsf,2,001,male,2022-07-25_13h40.10.806,openIAT,2020.1.0rc3,Linux x86_64,60,,0,,-0.325,-0.285185185,1,0,0,0.9317,button_left,0.9317,1,0,7,7,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
